                 6                24                 1                 0         3e-05  0
                -6               -24                -1                 0         3e-05  0
                 6                24                 3                 0      0.001765  0
                -6               -24                -3                 0      0.001765  0
                 6                24                 5                 0      0.998205  0
                -6               -24                -5                 0      0.998205  0
                 7               -24                 2                 0             0  0
                -7                24                -2                 0             0  0
                 7               -24                 4                 0             0  0
                -7                24                -4                 0             0  0
                 7               -24                 6                 0             0  0
                -7                24                -6                 0             0  0
                 7               -24                 8                 0             1  0
                -7                24                -8                 0             1  0
                 8                24                 1                 0             0  0
                -8               -24                -1                 0             0  0
                 8                24                 3                 0             0  0
                -8               -24                -3                 0             0  0
                 8                24                 5                 0             0  0
                -8               -24                -5                 0             0  0
                 8                24                 7                 0             1  0
                -8               -24                -7                 0             1  0
                13               -12                11                14             1  0
               -13                12               -11               -14             1  0
                15               -12                11                16        0.1784  0
               -15                12               -11               -16        0.1784  0
                15               -14                13                16        0.1736  0
               -15                14               -13               -16        0.1736  0
                15                16              -211                 0         0.109  0
               -15               -16               211                 0         0.109  0
                15                16              -213                 0         0.252  0
               -15               -16               213                 0         0.252  0
                15                16              -211               111         0.003  0
               -15               -16               211               111         0.003  0
                15                16              -213               111          0.09  0
               -15               -16               213               111          0.09  0
                15                16              -211               111        0.0025  0
               -15               -16               211               111        0.0025  0
                15                16              -213               111        0.0095  0
               -15               -16               213               111        0.0095  0
                15                16              -211               111        0.0009  0
               -15               -16               211               111        0.0009  0
                15                16              -213               111         0.001  0
               -15               -16               213               111         0.001  0
                15                16              -321                 0       0.00691  0
               -15               -16               321                 0       0.00691  0
                15                16              -323                 0         0.012  0
               -15               -16               323                 0         0.012  0
                15                16              -321               111       0.00052  0
               -15               -16               321               111       0.00052  0
                15                16              -321               111       0.00058  0
               -15               -16               321               111       0.00058  0
                15                16              -321               111       0.00042  0
               -15               -16               321               111       0.00042  0
                15                16              -311              -211         0.001  0
               -15               -16               311               211         0.001  0
                15                16              -311              -213        0.0022  0
               -15               -16               311               213        0.0022  0
                15                16              -311              -211        0.0016  0
               -15               -16               311               211        0.0016  0
                15                16              -311              -211       0.00026  0
               -15               -16               311               211       0.00026  0
                15                16              -321               311       0.00153  0
               -15               -16               321              -311       0.00153  0
                15                16              -321               311       0.00154  0
