# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.828346  0.701821  0.934493
0.75  0.839241  0.713111  0.948759
1.25  0.851146  0.729737  0.958977
1.75  0.864511  0.751138  0.964778
2.25  0.883646  0.777256  0.979229
2.75  0.906146  0.806595  0.993378
3.25  0.92288  0.832357  1.00803
3.75  0.937788  0.853122  1.01591
4.25  0.950981  0.869381  1.01723
4.75  0.958832  0.880957  1.01678
5.25  0.961526  0.888082  1.01456
5.75  0.965385  0.898986  1.01644
6.25  0.970389  0.913487  1.0224
6.75  0.975356  0.927679  1.02831
7.25  0.979755  0.936171  1.03079
7.75  0.983599  0.939176  1.02986
8.25  0.987421  0.942168  1.02893
8.75  0.991221  0.945146  1.02801
9.25  0.992998  0.947841  1.02765
9.75  0.992764  0.950257  1.02786
10.25  0.992531  0.952665  1.02808
10.75  0.992298  0.955064  1.02829
11.25  0.993838  0.958357  1.02936
11.75  0.997138  0.962532  1.03128
12.25  1.00042  0.96668  1.0332
12.75  1.00369  0.970803  1.03511
13.25  1.00695  0.974902  1.03702
13.75  1.01019  0.978975  1.03892
14.25  1.01341  0.983025  1.04081
14.75  1.01662  0.98705  1.04271
15.25  1.01982  0.991052  1.04459
15.75  1.023  0.995031  1.04647
16.25  1.02486  0.997115  1.04788
16.75  1.0254  0.99732  1.04881
17.25  1.02595  0.997525  1.04974
17.75  1.0265  0.997731  1.05066
18.25  1.02704  0.997935  1.05159
18.75  1.02759  0.99814  1.05252
19.25  1.02813  0.998346  1.05344
19.75  1.02868  0.99855  1.05436
20.25  1.02922  0.998755  1.05528
20.75  1.02977  0.99896  1.0562
21.25  1.03031  0.999164  1.05712
21.75  1.03086  0.999369  1.05804
22.25  1.0314  0.999574  1.05896
22.75  1.03194  0.999778  1.05987
23.25  1.03248  0.999983  1.06079
23.75  1.03302  1.00019  1.0617
24.25  1.03357  1.00039  1.06261
24.75  1.03411  1.0006  1.06353
25.25  1.03465  1.0008  1.06444
25.75  1.03519  1.001  1.06535
26.25  1.03573  1.00121  1.06625
26.75  1.03627  1.00141  1.06716
27.25  1.0368  1.00162  1.06807
27.75  1.03734  1.00182  1.06897
28.25  1.03788  1.00202  1.06988
28.75  1.03842  1.00223  1.07078
29.25  1.03896  1.00243  1.07168
29.75  1.03949  1.00264  1.07258
30.25  1.04003  1.00284  1.07348
30.75  1.04057  1.00304  1.07438
31.25  1.0411  1.00325  1.07528
31.75  1.04164  1.00345  1.07618
32.25  1.04217  1.00365  1.07707
32.75  1.04271  1.00386  1.07797
33.25  1.04324  1.00406  1.07886
33.75  1.04378  1.00426  1.07975
34.25  1.04431  1.00447  1.08065
34.75  1.04484  1.00467  1.08154
35.25  1.04511  1.00477  1.08198
35.75  1.04511  1.00477  1.08198
36.25  1.04511  1.00477  1.08198
36.75  1.04511  1.00477  1.08198
37.25  1.04511  1.00477  1.08198
37.75  1.04511  1.00477  1.08198
38.25  1.04511  1.00477  1.08198
38.75  1.04511  1.00477  1.08198
39.25  1.04511  1.00477  1.08198
39.75  1.04511  1.00477  1.08198
40.25  1.04511  1.00477  1.08198
40.75  1.04511  1.00477  1.08198
41.25  1.04511  1.00477  1.08198
41.75  1.04511  1.00477  1.08198
42.25  1.04511  1.00477  1.08198
42.75  1.04511  1.00477  1.08198
43.25  1.04511  1.00477  1.08198
43.75  1.04511  1.00477  1.08198
44.25  1.04511  1.00477  1.08198
44.75  1.04511  1.00477  1.08198
45.25  1.04511  1.00477  1.08198
45.75  1.04511  1.00477  1.08198
46.25  1.04511  1.00477  1.08198
46.75  1.04511  1.00477  1.08198
47.25  1.04511  1.00477  1.08198
47.75  1.04511  1.00477  1.08198
48.25  1.04511  1.00477  1.08198
48.75  1.04511  1.00477  1.08198
49.25  1.04511  1.00477  1.08198
49.75  1.04511  1.00477  1.08198
50.25  1.  1.  1.
50.75  1.  1.  1.
51.25  1.  1.  1.
51.75  1.  1.  1.
52.25  1.  1.  1.
52.75  1.  1.  1.
53.25  1.  1.  1.
53.75  1.  1.  1.
54.25  1.  1.  1.
54.75  1.  1.  1.
55.25  1.  1.  1.
55.75  1.  1.  1.
56.25  1.  1.  1.
56.75  1.  1.  1.
57.25  1.  1.  1.
57.75  1.  1.  1.
58.25  1.  1.  1.
58.75  1.  1.  1.
59.25  1.  1.  1.
59.75  1.  1.  1.
60.25  1.  1.  1.
60.75  1.  1.  1.
61.25  1.  1.  1.
61.75  1.  1.  1.
62.25  1.  1.  1.
62.75  1.  1.  1.
63.25  1.  1.  1.
63.75  1.  1.  1.
64.25  1.  1.  1.
64.75  1.  1.  1.
65.25  1.  1.  1.
65.75  1.  1.  1.
66.25  1.  1.  1.
66.75  1.  1.  1.
67.25  1.  1.  1.
67.75  1.  1.  1.
68.25  1.  1.  1.
68.75  1.  1.  1.
69.25  1.  1.  1.
69.75  1.  1.  1.
70.25  1.  1.  1.
70.75  1.  1.  1.
71.25  1.  1.  1.
71.75  1.  1.  1.
72.25  1.  1.  1.
72.75  1.  1.  1.
73.25  1.  1.  1.
73.75  1.  1.  1.
74.25  1.  1.  1.
74.75  1.  1.  1.
75.25  1.  1.  1.
75.75  1.  1.  1.
76.25  1.  1.  1.
76.75  1.  1.  1.
77.25  1.  1.  1.
77.75  1.  1.  1.
78.25  1.  1.  1.
78.75  1.  1.  1.
79.25  1.  1.  1.
79.75  1.  1.  1.
80.25  1.  1.  1.
80.75  1.  1.  1.
81.25  1.  1.  1.
81.75  1.  1.  1.
82.25  1.  1.  1.
82.75  1.  1.  1.
83.25  1.  1.  1.
83.75  1.  1.  1.
84.25  1.  1.  1.
84.75  1.  1.  1.
85.25  1.  1.  1.
85.75  1.  1.  1.
86.25  1.  1.  1.
86.75  1.  1.  1.
87.25  1.  1.  1.
87.75  1.  1.  1.
88.25  1.  1.  1.
88.75  1.  1.  1.
89.25  1.  1.  1.
89.75  1.  1.  1.
90.25  1.  1.  1.
90.75  1.  1.  1.
91.25  1.  1.  1.
91.75  1.  1.  1.
92.25  1.  1.  1.
92.75  1.  1.  1.
93.25  1.  1.  1.
93.75  1.  1.  1.
94.25  1.  1.  1.
94.75  1.  1.  1.
95.25  1.  1.  1.
95.75  1.  1.  1.
96.25  1.  1.  1.
96.75  1.  1.  1.
97.25  1.  1.  1.
97.75  1.  1.  1.
98.25  1.  1.  1.
98.75  1.  1.  1.
99.25  1.  1.  1.
99.75  1.  1.  1.
100.25  1.  1.  1.
100.75  1.  1.  1.
101.25  1.  1.  1.
101.75  1.  1.  1.
102.25  1.  1.  1.
102.75  1.  1.  1.
103.25  1.  1.  1.
103.75  1.  1.  1.
104.25  1.  1.  1.
104.75  1.  1.  1.
105.25  1.  1.  1.
105.75  1.  1.  1.
106.25  1.  1.  1.
106.75  1.  1.  1.
107.25  1.  1.  1.
107.75  1.  1.  1.
108.25  1.  1.  1.
108.75  1.  1.  1.
109.25  1.  1.  1.
109.75  1.  1.  1.
110.25  1.  1.  1.
110.75  1.  1.  1.
111.25  1.  1.  1.
111.75  1.  1.  1.
112.25  1.  1.  1.
112.75  1.  1.  1.
113.25  1.  1.  1.
113.75  1.  1.  1.
114.25  1.  1.  1.
114.75  1.  1.  1.
115.25  1.  1.  1.
115.75  1.  1.  1.
116.25  1.  1.  1.
116.75  1.  1.  1.
117.25  1.  1.  1.
117.75  1.  1.  1.
118.25  1.  1.  1.
118.75  1.  1.  1.
119.25  1.  1.  1.
119.75  1.  1.  1.
120.25  1.  1.  1.
120.75  1.  1.  1.
121.25  1.  1.  1.
121.75  1.  1.  1.
122.25  1.  1.  1.
122.75  1.  1.  1.
123.25  1.  1.  1.
123.75  1.  1.  1.
124.25  1.  1.  1.
124.75  1.  1.  1.
125.25  1.  1.  1.
125.75  1.  1.  1.
126.25  1.  1.  1.
126.75  1.  1.  1.
127.25  1.  1.  1.
127.75  1.  1.  1.
128.25  1.  1.  1.
128.75  1.  1.  1.
129.25  1.  1.  1.
129.75  1.  1.  1.
130.25  1.  1.  1.
130.75  1.  1.  1.
131.25  1.  1.  1.
131.75  1.  1.  1.
132.25  1.  1.  1.
132.75  1.  1.  1.
133.25  1.  1.  1.
133.75  1.  1.  1.
134.25  1.  1.  1.
134.75  1.  1.  1.
135.25  1.  1.  1.
135.75  1.  1.  1.
136.25  1.  1.  1.
136.75  1.  1.  1.
137.25  1.  1.  1.
137.75  1.  1.  1.
138.25  1.  1.  1.
138.75  1.  1.  1.
139.25  1.  1.  1.
139.75  1.  1.  1.
140.25  1.  1.  1.
140.75  1.  1.  1.
141.25  1.  1.  1.
141.75  1.  1.  1.
142.25  1.  1.  1.
142.75  1.  1.  1.
143.25  1.  1.  1.
143.75  1.  1.  1.
144.25  1.  1.  1.
