# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.689728  0.503164  0.873693
0.75  0.707477  0.518508  0.900335
1.25  0.727175  0.541394  0.919712
1.75  0.749665  0.571706  0.930823
2.25  0.782523  0.610101  0.958848
2.75  0.82215  0.655098  0.986768
3.25  0.852354  0.696231  1.01619
3.75  0.879804  0.730477  1.03221
4.25  0.904528  0.757957  1.03492
4.75  0.919435  0.77786  1.034
5.25  0.924584  0.790248  1.02946
5.75  0.93199  0.80942  1.03331
6.25  0.941645  0.835323  1.04553
6.75  0.951287  0.861135  1.05774
7.25  0.959878  0.876802  1.06288
7.75  0.96742  0.882386  1.06096
8.25  0.974954  0.887967  1.05904
8.75  0.982482  0.893543  1.05711
9.25  0.986012  0.898607  1.05637
9.75  0.985548  0.903161  1.05682
10.25  0.985085  0.907714  1.05726
10.75  0.984621  0.912262  1.0577
11.25  0.987684  0.918529  1.05992
11.75  0.994269  0.926511  1.06392
12.25  1.00085  0.934483  1.06791
12.75  1.00742  0.942447  1.07189
13.25  1.01399  0.950404  1.07588
13.75  1.02056  0.958352  1.07987
14.25  1.02711  0.966292  1.08385
14.75  1.03367  0.974223  1.08783
15.25  1.04022  0.982146  1.09181
15.75  1.04676  0.990063  1.09579
16.25  1.0506  0.994223  1.09876
16.75  1.05173  0.994632  1.10073
17.25  1.05286  0.995043  1.1027
17.75  1.05399  0.995454  1.10467
18.25  1.05512  0.995863  1.10664
18.75  1.05625  0.996274  1.10861
19.25  1.05738  0.996685  1.11058
19.75  1.05851  0.997094  1.11255
20.25  1.05964  0.997505  1.11452
20.75  1.06077  0.997915  1.11648
21.25  1.0619  0.998325  1.11845
21.75  1.06303  0.998735  1.12042
22.25  1.06415  0.999146  1.12238
22.75  1.06528  0.999555  1.12435
23.25  1.06641  0.999966  1.12632
23.75  1.06754  1.00038  1.12828
24.25  1.06867  1.00079  1.13024
24.75  1.0698  1.0012  1.13221
25.25  1.07093  1.00161  1.13417
25.75  1.07205  1.00202  1.13614
26.25  1.07318  1.00243  1.1381
26.75  1.07431  1.00284  1.14006
27.25  1.07544  1.00325  1.14202
27.75  1.07657  1.00366  1.14398
28.25  1.07769  1.00407  1.14595
28.75  1.07882  1.00448  1.14791
29.25  1.07995  1.00489  1.14987
29.75  1.08108  1.0053  1.15183
30.25  1.0822  1.0057  1.15379
30.75  1.08333  1.00611  1.15575
31.25  1.08446  1.00652  1.15771
31.75  1.08558  1.00693  1.15966
32.25  1.08671  1.00734  1.16162
32.75  1.08783  1.00775  1.16358
33.25  1.08896  1.00816  1.16554
33.75  1.09009  1.00857  1.1675
34.25  1.09121  1.00898  1.16945
34.75  1.09234  1.00939  1.17141
35.25  1.0929  1.0096  1.17239
35.75  1.0929  1.0096  1.17239
36.25  1.0929  1.0096  1.17239
36.75  1.0929  1.0096  1.17239
37.25  1.0929  1.0096  1.17239
37.75  1.0929  1.0096  1.17239
38.25  1.0929  1.0096  1.17239
38.75  1.0929  1.0096  1.17239
39.25  1.0929  1.0096  1.17239
39.75  1.0929  1.0096  1.17239
40.25  1.0929  1.0096  1.17239
40.75  1.0929  1.0096  1.17239
41.25  1.0929  1.0096  1.17239
41.75  1.0929  1.0096  1.17239
42.25  1.0929  1.0096  1.17239
42.75  1.0929  1.0096  1.17239
43.25  1.0929  1.0096  1.17239
43.75  1.0929  1.0096  1.17239
44.25  1.0929  1.0096  1.17239
44.75  1.0929  1.0096  1.17239
45.25  1.0929  1.0096  1.17239
45.75  1.0929  1.0096  1.17239
46.25  1.0929  1.0096  1.17239
46.75  1.0929  1.0096  1.17239
47.25  1.0929  1.0096  1.17239
47.75  1.0929  1.0096  1.17239
48.25  1.0929  1.0096  1.17239
48.75  1.0929  1.0096  1.17239
49.25  1.0929  1.0096  1.17239
49.75  1.0929  1.0096  1.17239
50.25  1.  1.  1.
50.75  1.  1.  1.
51.25  1.  1.  1.
51.75  1.  1.  1.
52.25  1.  1.  1.
52.75  1.  1.  1.
53.25  1.  1.  1.
53.75  1.  1.  1.
54.25  1.  1.  1.
54.75  1.  1.  1.
55.25  1.  1.  1.
55.75  1.  1.  1.
56.25  1.  1.  1.
56.75  1.  1.  1.
57.25  1.  1.  1.
57.75  1.  1.  1.
58.25  1.  1.  1.
58.75  1.  1.  1.
59.25  1.  1.  1.
59.75  1.  1.  1.
60.25  1.  1.  1.
60.75  1.  1.  1.
61.25  1.  1.  1.
61.75  1.  1.  1.
62.25  1.  1.  1.
62.75  1.  1.  1.
63.25  1.  1.  1.
63.75  1.  1.  1.
64.25  1.  1.  1.
64.75  1.  1.  1.
65.25  1.  1.  1.
65.75  1.  1.  1.
66.25  1.  1.  1.
66.75  1.  1.  1.
67.25  1.  1.  1.
67.75  1.  1.  1.
68.25  1.  1.  1.
68.75  1.  1.  1.
69.25  1.  1.  1.
69.75  1.  1.  1.
70.25  1.  1.  1.
70.75  1.  1.  1.
71.25  1.  1.  1.
71.75  1.  1.  1.
72.25  1.  1.  1.
72.75  1.  1.  1.
73.25  1.  1.  1.
73.75  1.  1.  1.
74.25  1.  1.  1.
74.75  1.  1.  1.
75.25  1.  1.  1.
75.75  1.  1.  1.
76.25  1.  1.  1.
76.75  1.  1.  1.
77.25  1.  1.  1.
77.75  1.  1.  1.
78.25  1.  1.  1.
78.75  1.  1.  1.
79.25  1.  1.  1.
79.75  1.  1.  1.
80.25  1.  1.  1.
80.75  1.  1.  1.
81.25  1.  1.  1.
81.75  1.  1.  1.
82.25  1.  1.  1.
82.75  1.  1.  1.
83.25  1.  1.  1.
83.75  1.  1.  1.
84.25  1.  1.  1.
84.75  1.  1.  1.
85.25  1.  1.  1.
85.75  1.  1.  1.
86.25  1.  1.  1.
86.75  1.  1.  1.
87.25  1.  1.  1.
87.75  1.  1.  1.
88.25  1.  1.  1.
88.75  1.  1.  1.
89.25  1.  1.  1.
89.75  1.  1.  1.
90.25  1.  1.  1.
90.75  1.  1.  1.
91.25  1.  1.  1.
91.75  1.  1.  1.
92.25  1.  1.  1.
92.75  1.  1.  1.
93.25  1.  1.  1.
93.75  1.  1.  1.
94.25  1.  1.  1.
94.75  1.  1.  1.
95.25  1.  1.  1.
95.75  1.  1.  1.
96.25  1.  1.  1.
96.75  1.  1.  1.
97.25  1.  1.  1.
97.75  1.  1.  1.
98.25  1.  1.  1.
98.75  1.  1.  1.
99.25  1.  1.  1.
99.75  1.  1.  1.
100.25  1.  1.  1.
100.75  1.  1.  1.
101.25  1.  1.  1.
101.75  1.  1.  1.
102.25  1.  1.  1.
102.75  1.  1.  1.
103.25  1.  1.  1.
103.75  1.  1.  1.
104.25  1.  1.  1.
104.75  1.  1.  1.
105.25  1.  1.  1.
105.75  1.  1.  1.
106.25  1.  1.  1.
106.75  1.  1.  1.
107.25  1.  1.  1.
107.75  1.  1.  1.
