# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.63837  0.439304  0.848726
0.75  0.658133  0.455153  0.88017
1.25  0.680213  0.478827  0.903198
1.75  0.705605  0.51055  0.916463
2.25  0.74302  0.551404  0.95011
2.75  0.788609  0.600195  0.983897
3.25  0.823723  0.645596  1.01978
3.75  0.855915  0.683929  1.03944
4.25  0.885142  0.715015  1.04277
4.75  0.902869  0.73769  1.04164
5.25  0.90901  0.751865  1.03606
5.75  0.917858  0.773905  1.04079
6.25  0.929423  0.803883  1.05585
6.75  0.941005  0.833992  1.07093
7.25  0.951351  0.852381  1.07729
7.75  0.960455  0.858957  1.07491
8.25  0.969568  0.865541  1.07253
8.75  0.978693  0.872129  1.07015
9.25  0.982978  0.878123  1.06924
9.75  0.982415  0.88352  1.06979
10.25  0.981852  0.888923  1.07034
10.75  0.981289  0.894329  1.07088
11.25  0.98501  0.901789  1.07363
11.75  0.993018  0.91131  1.07858
12.25  1.00103  0.920842  1.08352
12.75  1.00906  0.930386  1.08847
13.25  1.01709  0.939943  1.09343
13.75  1.02513  0.949511  1.09838
14.25  1.03318  0.959092  1.10334
14.75  1.04123  0.968683  1.1083
15.25  1.04929  0.978286  1.11327
15.75  1.05736  0.987901  1.11823
16.25  1.0621  0.992962  1.12195
16.75  1.06349  0.993461  1.12441
17.25  1.06489  0.993961  1.12687
17.75  1.06629  0.994461  1.12934
18.25  1.06768  0.99496  1.1318
18.75  1.06908  0.99546  1.13427
19.25  1.07048  0.99596  1.13673
19.75  1.07188  0.996459  1.1392
20.25  1.07328  0.996959  1.14167
20.75  1.07468  0.997459  1.14414
21.25  1.07607  0.997958  1.1466
21.75  1.07747  0.998458  1.14907
22.25  1.07887  0.998959  1.15154
22.75  1.08027  0.999458  1.15401
23.25  1.08167  0.999958  1.15648
23.75  1.08307  1.00046  1.15896
24.25  1.08447  1.00096  1.16143
24.75  1.08587  1.00146  1.1639
25.25  1.08727  1.00196  1.16637
25.75  1.08867  1.00246  1.16885
26.25  1.09007  1.00296  1.17132
26.75  1.09148  1.00346  1.17379
27.25  1.09288  1.00396  1.17627
27.75  1.09428  1.00446  1.17875
28.25  1.09568  1.00496  1.18122
28.75  1.09708  1.00546  1.1837
29.25  1.09848  1.00596  1.18618
