# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.903449  0.828269  0.967375
0.75  0.913242  0.835915  0.973883
1.25  0.923406  0.852735  0.981617
1.75  0.932186  0.865984  0.986015
2.25  0.946037  0.88876  0.996951
2.75  0.960504  0.902404  1.00115
3.25  0.971118  0.924741  1.00748
3.75  0.979142  0.940239  1.01245
4.25  0.984796  0.949985  1.01613
4.75  0.988683  0.957634  1.01838
5.25  0.990878  0.963349  1.01921
5.75  0.993556  0.968481  1.02056
6.25  0.996704  0.97306  1.02241
6.75  0.999815  0.977562  1.02425
7.25  1.00281  0.982121  1.02513
7.75  1.00568  0.986733  1.02506
8.25  1.00853  0.991266  1.02499
8.75  1.01134  0.995724  1.02492
9.25  1.01307  0.999105  1.02592
9.75  1.01373  1.00145  1.02796
10.25  1.01438  1.00377  1.03
10.75  1.01504  1.00607  1.03201
11.25  1.01574  1.00732  1.03311
11.75  1.01649  1.00752  1.03328
12.25  1.01723  1.00772  1.03346
12.75  1.01797  1.00793  1.03364
13.25  1.01871  1.00813  1.03382
13.75  1.01945  1.00833  1.034
14.25  1.02019  1.00853  1.03418
14.75  1.02092  1.00873  1.03436
15.25  1.02165  1.00894  1.03454
15.75  1.02238  1.00914  1.03471
16.25  1.02285  1.00938  1.03497
16.75  1.02305  1.00966  1.03531
17.25  1.02326  1.00994  1.03565
17.75  1.02346  1.01022  1.03599
18.25  1.02366  1.0105  1.03632
18.75  1.02387  1.01078  1.03666
19.25  1.02407  1.01106  1.037
19.75  1.02427  1.01134  1.03733
20.25  1.02447  1.01162  1.03767
20.75  1.02468  1.0119  1.03801
21.25  1.02488  1.01218  1.03834
21.75  1.02508  1.01245  1.03868
22.25  1.02528  1.01273  1.03901
22.75  1.02548  1.01301  1.03934
23.25  1.02568  1.01329  1.03968
23.75  1.02589  1.01356  1.04001
24.25  1.02609  1.01384  1.04034
24.75  1.02629  1.01412  1.04068
25.25  1.02649  1.01439  1.04101
25.75  1.02669  1.01467  1.04134
26.25  1.02689  1.01494  1.04167
26.75  1.02709  1.01522  1.042
27.25  1.02729  1.0155  1.04233
27.75  1.02749  1.01577  1.04266
28.25  1.02769  1.01604  1.04299
28.75  1.02789  1.01632  1.04332
29.25  1.02809  1.01659  1.04365
29.75  1.02829  1.01687  1.04398
30.25  1.02849  1.01714  1.04431
30.75  1.02869  1.01741  1.04464
31.25  1.02889  1.01769  1.04497
31.75  1.02909  1.01796  1.04529
32.25  1.02929  1.01823  1.04562
32.75  1.02949  1.0185  1.04595
33.25  1.02969  1.01878  1.04627
33.75  1.02988  1.01905  1.0466
34.25  1.03008  1.01932  1.04693
34.75  1.03028  1.01959  1.04725
35.25  1.03038  1.01973  1.04741
35.75  1.03038  1.01973  1.04741
36.25  1.03038  1.01973  1.04741
36.75  1.03038  1.01973  1.04741
37.25  1.03038  1.01973  1.04741
37.75  1.03038  1.01973  1.04741
38.25  1.03038  1.01973  1.04741
38.75  1.03038  1.01973  1.04741
39.25  1.03038  1.01973  1.04741
39.75  1.03038  1.01973  1.04741
40.25  1.03038  1.01973  1.04741
40.75  1.03038  1.01973  1.04741
41.25  1.03038  1.01973  1.04741
41.75  1.03038  1.01973  1.04741
42.25  1.03038  1.01973  1.04741
42.75  1.03038  1.01973  1.04741
43.25  1.03038  1.01973  1.04741
43.75  1.03038  1.01973  1.04741
