# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.70762  0.526566  0.882074
0.75  0.724603  0.541622  0.907068
1.25  0.743407  0.564057  0.925206
1.75  0.764825  0.593655  0.935591
2.25  0.796028  0.630944  0.961734
2.75  0.833526  0.674376  0.987712
3.25  0.862005  0.713846  1.01501
3.75  0.887812  0.746555  1.02985
4.25  0.910996  0.772709  1.03236
4.75  0.924947  0.791606  1.03151
5.25  0.929761  0.803349  1.02731
5.75  0.93668  0.821495  1.03087
6.25  0.945694  0.845957  1.04218
6.75  0.954688  0.870269  1.05346
7.25  0.962693  0.884993  1.0582
7.75  0.969717  0.890236  1.05643
8.25  0.976728  0.895473  1.05465
8.75  0.983728  0.900702  1.05288
9.25  0.987009  0.905449  1.05219
9.75  0.986578  0.909716  1.0526
10.25  0.986147  0.913979  1.05301
10.75  0.985717  0.918236  1.05342
11.25  0.988563  0.924099  1.05547
11.75  0.99468  0.931561  1.05916
12.25  1.00079  0.939009  1.06284
12.75  1.00689  0.946443  1.06652
13.25  1.01298  0.953864  1.0702
13.75  1.01906  0.961272  1.07387
14.25  1.02514  0.968667  1.07754
14.75  1.0312  0.976048  1.08121
15.25  1.03726  0.983416  1.08488
15.75  1.04331  0.990773  1.08854
16.25  1.04686  0.994636  1.09128
16.75  1.0479  0.995017  1.09309
17.25  1.04894  0.995398  1.09491
17.75  1.04999  0.99578  1.09672
18.25  1.05103  0.99616  1.09853
18.75  1.05208  0.996541  1.10034
19.25  1.05312  0.996922  1.10215
19.75  1.05416  0.997303  1.10396
20.25  1.05521  0.997684  1.10577
20.75  1.05625  0.998065  1.10758
21.25  1.05729  0.998445  1.10939
21.75  1.05834  0.998826  1.1112
22.25  1.05938  0.999207  1.113
22.75  1.06042  0.999587  1.11481
23.25  1.06146  0.999968  1.11661
23.75  1.0625  1.00035  1.11842
24.25  1.06354  1.00073  1.12022
24.75  1.06459  1.00111  1.12203
25.25  1.06563  1.00149  1.12383
25.75  1.06667  1.00187  1.12563
26.25  1.06771  1.00225  1.12743
26.75  1.06875  1.00263  1.12923
27.25  1.06979  1.00301  1.13103
27.75  1.07083  1.00339  1.13283
28.25  1.07187  1.00377  1.13463
28.75  1.07291  1.00415  1.13643
29.25  1.07395  1.00453  1.13823
29.75  1.07499  1.00491  1.14003
30.25  1.07602  1.00529  1.14182
30.75  1.07706  1.00567  1.14362
31.25  1.0781  1.00605  1.14541
31.75  1.07914  1.00643  1.14721
32.25  1.08018  1.00681  1.149
32.75  1.08121  1.00719  1.1508
33.25  1.08225  1.00757  1.15259
33.75  1.08329  1.00795  1.15438
34.25  1.08432  1.00833  1.15617
34.75  1.08536  1.00871  1.15796
35.25  1.08588  1.0089  1.15886
35.75  1.08588  1.0089  1.15886
36.25  1.08588  1.0089  1.15886
36.75  1.08588  1.0089  1.15886
37.25  1.08588  1.0089  1.15886
37.75  1.08588  1.0089  1.15886
38.25  1.08588  1.0089  1.15886
38.75  1.08588  1.0089  1.15886
39.25  1.08588  1.0089  1.15886
39.75  1.08588  1.0089  1.15886
40.25  1.08588  1.0089  1.15886
40.75  1.08588  1.0089  1.15886
41.25  1.08588  1.0089  1.15886
41.75  1.08588  1.0089  1.15886
42.25  1.08588  1.0089  1.15886
42.75  1.08588  1.0089  1.15886
43.25  1.08588  1.0089  1.15886
43.75  1.08588  1.0089  1.15886
44.25  1.08588  1.0089  1.15886
44.75  1.08588  1.0089  1.15886
45.25  1.08588  1.0089  1.15886
45.75  1.08588  1.0089  1.15886
46.25  1.08588  1.0089  1.15886
46.75  1.08588  1.0089  1.15886
47.25  1.08588  1.0089  1.15886
47.75  1.08588  1.0089  1.15886
48.25  1.08588  1.0089  1.15886
48.75  1.08588  1.0089  1.15886
49.25  1.08588  1.0089  1.15886
49.75  1.08588  1.0089  1.15886
50.25  1.  1.  1.
50.75  1.  1.  1.
51.25  1.  1.  1.
51.75  1.  1.  1.
52.25  1.  1.  1.
52.75  1.  1.  1.
53.25  1.  1.  1.
53.75  1.  1.  1.
54.25  1.  1.  1.
54.75  1.  1.  1.
55.25  1.  1.  1.
55.75  1.  1.  1.
56.25  1.  1.  1.
56.75  1.  1.  1.
57.25  1.  1.  1.
57.75  1.  1.  1.
58.25  1.  1.  1.
58.75  1.  1.  1.
59.25  1.  1.  1.
59.75  1.  1.  1.
60.25  1.  1.  1.
60.75  1.  1.  1.
61.25  1.  1.  1.
61.75  1.  1.  1.
62.25  1.  1.  1.
62.75  1.  1.  1.
63.25  1.  1.  1.
63.75  1.  1.  1.
64.25  1.  1.  1.
64.75  1.  1.  1.
65.25  1.  1.  1.
65.75  1.  1.  1.
66.25  1.  1.  1.
66.75  1.  1.  1.
67.25  1.  1.  1.
67.75  1.  1.  1.
68.25  1.  1.  1.
68.75  1.  1.  1.
69.25  1.  1.  1.
69.75  1.  1.  1.
70.25  1.  1.  1.
70.75  1.  1.  1.
71.25  1.  1.  1.
71.75  1.  1.  1.
72.25  1.  1.  1.
72.75  1.  1.  1.
73.25  1.  1.  1.
73.75  1.  1.  1.
74.25  1.  1.  1.
74.75  1.  1.  1.
75.25  1.  1.  1.
75.75  1.  1.  1.
76.25  1.  1.  1.
76.75  1.  1.  1.
77.25  1.  1.  1.
77.75  1.  1.  1.
78.25  1.  1.  1.
78.75  1.  1.  1.
79.25  1.  1.  1.
79.75  1.  1.  1.
80.25  1.  1.  1.
80.75  1.  1.  1.
81.25  1.  1.  1.
81.75  1.  1.  1.
82.25  1.  1.  1.
82.75  1.  1.  1.
83.25  1.  1.  1.
83.75  1.  1.  1.
84.25  1.  1.  1.
84.75  1.  1.  1.
85.25  1.  1.  1.
85.75  1.  1.  1.
86.25  1.  1.  1.
86.75  1.  1.  1.
87.25  1.  1.  1.
87.75  1.  1.  1.
88.25  1.  1.  1.
88.75  1.  1.  1.
89.25  1.  1.  1.
89.75  1.  1.  1.
90.25  1.  1.  1.
90.75  1.  1.  1.
91.25  1.  1.  1.
91.75  1.  1.  1.
92.25  1.  1.  1.
92.75  1.  1.  1.
93.25  1.  1.  1.
93.75  1.  1.  1.
94.25  1.  1.  1.
94.75  1.  1.  1.
95.25  1.  1.  1.
95.75  1.  1.  1.
96.25  1.  1.  1.
96.75  1.  1.  1.
97.25  1.  1.  1.
97.75  1.  1.  1.
98.25  1.  1.  1.
98.75  1.  1.  1.
99.25  1.  1.  1.
99.75  1.  1.  1.
100.25  1.  1.  1.
100.75  1.  1.  1.
101.25  1.  1.  1.
101.75  1.  1.  1.
102.25  1.  1.  1.
102.75  1.  1.  1.
103.25  1.  1.  1.
103.75  1.  1.  1.
104.25  1.  1.  1.
104.75  1.  1.  1.
105.25  1.  1.  1.
105.75  1.  1.  1.
106.25  1.  1.  1.
106.75  1.  1.  1.
107.25  1.  1.  1.
107.75  1.  1.  1.
108.25  1.  1.  1.
108.75  1.  1.  1.
109.25  1.  1.  1.
109.75  1.  1.  1.
110.25  1.  1.  1.
110.75  1.  1.  1.
111.25  1.  1.  1.
111.75  1.  1.  1.
112.25  1.  1.  1.
112.75  1.  1.  1.
113.25  1.  1.  1.
113.75  1.  1.  1.
114.25  1.  1.  1.
114.75  1.  1.  1.
115.25  1.  1.  1.
115.75  1.  1.  1.
116.25  1.  1.  1.
116.75  1.  1.  1.
117.25  1.  1.  1.
117.75  1.  1.  1.
118.25  1.  1.  1.
118.75  1.  1.  1.
119.25  1.  1.  1.
119.75  1.  1.  1.
120.25  1.  1.  1.
120.75  1.  1.  1.
121.25  1.  1.  1.
121.75  1.  1.  1.
122.25  1.  1.  1.
122.75  1.  1.  1.
123.25  1.  1.  1.
123.75  1.  1.  1.
124.25  1.  1.  1.
124.75  1.  1.  1.
125.25  1.  1.  1.
125.75  1.  1.  1.
126.25  1.  1.  1.
126.75  1.  1.  1.
127.25  1.  1.  1.
127.75  1.  1.  1.
128.25  1.  1.  1.
128.75  1.  1.  1.
129.25  1.  1.  1.
129.75  1.  1.  1.
130.25  1.  1.  1.
130.75  1.  1.  1.
131.25  1.  1.  1.
131.75  1.  1.  1.
132.25  1.  1.  1.
132.75  1.  1.  1.
133.25  1.  1.  1.
133.75  1.  1.  1.
134.25  1.  1.  1.
134.75  1.  1.  1.
135.25  1.  1.  1.
135.75  1.  1.  1.
136.25  1.  1.  1.
136.75  1.  1.  1.
137.25  1.  1.  1.
137.75  1.  1.  1.
138.25  1.  1.  1.
138.75  1.  1.  1.
139.25  1.  1.  1.
139.75  1.  1.  1.
140.25  1.  1.  1.
140.75  1.  1.  1.
141.25  1.  1.  1.
141.75  1.  1.  1.
142.25  1.  1.  1.
142.75  1.  1.  1.
143.25  1.  1.  1.
143.75  1.  1.  1.
144.25  1.  1.  1.
144.75  1.  1.  1.
145.25  1.  1.  1.
145.75  1.  1.  1.
146.25  1.  1.  1.
146.75  1.  1.  1.
147.25  1.  1.  1.
147.75  1.  1.  1.
148.25  1.  1.  1.
148.75  1.  1.  1.
149.25  1.  1.  1.
149.75  1.  1.  1.
150.25  1.  1.  1.
150.75  1.  1.  1.
151.25  1.  1.  1.
151.75  1.  1.  1.
152.25  1.  1.  1.
152.75  1.  1.  1.
153.25  1.  1.  1.
153.75  1.  1.  1.
154.25  1.  1.  1.
154.75  1.  1.  1.
155.25  1.  1.  1.
155.75  1.  1.  1.
156.25  1.  1.  1.
156.75  1.  1.  1.
157.25  1.  1.  1.
157.75  1.  1.  1.
158.25  1.  1.  1.
158.75  1.  1.  1.
159.25  1.  1.  1.
159.75  1.  1.  1.
160.25  1.  1.  1.
160.75  1.  1.  1.
161.25  1.  1.  1.
161.75  1.  1.  1.
162.25  1.  1.  1.
162.75  1.  1.  1.
163.25  1.  1.  1.
163.75  1.  1.  1.
164.25  1.  1.  1.
164.75  1.  1.  1.
165.25  1.  1.  1.
165.75  1.  1.  1.
166.25  1.  1.  1.
166.75  1.  1.  1.
167.25  1.  1.  1.
167.75  1.  1.  1.
168.25  1.  1.  1.
168.75  1.  1.  1.
169.25  1.  1.  1.
169.75  1.  1.  1.
170.25  1.  1.  1.
170.75  1.  1.  1.
171.25  1.  1.  1.
171.75  1.  1.  1.
172.25  1.  1.  1.
172.75  1.  1.  1.
173.25  1.  1.  1.
173.75  1.  1.  1.
174.25  1.  1.  1.
174.75  1.  1.  1.
175.25  1.  1.  1.
175.75  1.  1.  1.
176.25  1.  1.  1.
176.75  1.  1.  1.
177.25  1.  1.  1.
177.75  1.  1.  1.
178.25  1.  1.  1.
178.75  1.  1.  1.
179.25  1.  1.  1.
179.75  1.  1.  1.
180.25  1.  1.  1.
180.75  1.  1.  1.
181.25  1.  1.  1.
181.75  1.  1.  1.
182.25  1.  1.  1.
182.75  1.  1.  1.
183.25  1.  1.  1.
183.75  1.  1.  1.
184.25  1.  1.  1.
184.75  1.  1.  1.
185.25  1.  1.  1.
185.75  1.  1.  1.
186.25  1.  1.  1.
186.75  1.  1.  1.
187.25  1.  1.  1.
187.75  1.  1.  1.
188.25  1.  1.  1.
188.75  1.  1.  1.
189.25  1.  1.  1.
189.75  1.  1.  1.
190.25  1.  1.  1.
190.75  1.  1.  1.
191.25  1.  1.  1.
191.75  1.  1.  1.
192.25  1.  1.  1.
