# this is EMMI RRTF_HQ_cquark_ppFONLL_2.76TeV_yle1 file 
# first, total cross section (in fm2) ... still to be estimated in this file
4
 -1.d0 -1.d0  -1.d0 -1.d0
# cross section is ds/dpt (pb/GeV)
# pt  cent (m_c=1.3)     fr=1 2  fr=1 .5 centr 1.5 (mc=1.5)  
400 0.5d0
59.75 165.25 128.949997 165.889999 146.85999999999999
60.25 157.100006 122.599998 157.619995 139.57999999999998
60.75 149.410004 116.610001 149.809998 132.72
61.25 142.130005 110.940002 142.440002 126.23
61.75 135.259995 105.580002 135.490005 120.11
62.25 128.770004 100.519997 128.910004 114.31
62.75 122.629997 95.733002 122.699997 108.84
63.25 116.809998 91.202003 116.82 103.66
63.75 111.309998 86.912003 111.269997 98.75500000000001
64.25 106.099998 82.849998 106.010002 94.11500000000001
64.75 101.169998 79.000999 101.029999 89.72
65.25 96.495003 75.353996 96.314003 85.557
65.75 92.063004 71.897003 91.846001 81.61099999999999
66.25 87.860001 68.617996 87.612 77.87
66.75 83.874001 65.508003 83.598 74.321
67.25 80.089996 62.556 79.790001 70.955
67.75 76.499001 59.752998 76.177002 67.75999999999999
68.25 73.087997 57.091999 72.748001 64.727
68.75 69.848 54.563999 69.491997 61.846
69.25 66.768997 52.160999 66.399002 59.108000000000004
69.75 63.842999 49.876999 63.460999 56.507
70.25 61.061001 47.706001 60.668999 54.034000000000006
70.75 58.416 45.640999 58.015999 51.684
71.25 55.900002 43.676998 55.493 49.448
71.75 53.505001 41.807999 53.094002 47.321999999999996
72.25 51.226002 40.028 50.812 45.298
72.75 49.056999 38.334 48.639999 43.372
73.25 46.990002 36.721001 46.571999 41.537
73.75 45.021999 35.183998 44.604 39.791
74.25 43.146999 33.719002 42.729 38.126000000000005
74.75 41.359001 32.321999 40.943001 36.54
75.25 39.654999 30.990999 39.241001 35.028
75.75 38.028999 29.721001 37.618999 33.586999999999996
76.25 36.479 28.51 36.071999 32.212
76.75 34.999001 27.354 34.596001 30.9
77.25 33.587002 26.250999 33.188999 29.648
77.75 32.238998 25.197001 31.846001 28.454
78.25 30.951 24.191 30.563 27.313000000000002
78.75 29.722 23.23 29.339001 26.223999999999997
79.25 28.547001 22.312 28.169001 25.183
79.75 27.424 21.434999 27.052 24.188000000000002
80.25 26.351 20.596001 25.985001 23.238
80.75 25.323999 19.794001 24.965 22.329
81.25 24.343 19.027 23.989 21.46
81.75 23.403999 18.292999 23.056 20.628999999999998
82.25 22.504999 17.59 22.164 19.834
82.75 21.645 16.917999 21.309999 19.073
83.25 20.822001 16.275 20.493 18.345
83.75 20.033001 15.659 19.709999 17.647
84.25 19.278 15.068 18.962 16.979
84.75 18.555 14.503 18.243999 16.34
85.25 17.862 13.961 17.556999 15.727
85.75 17.198 13.442 16.899 15.14
86.25 16.561001 12.945 16.268999 14.577
86.75 15.952 12.468 15.665 14.038
87.25 15.367 12.011 15.086 13.522
87.75 14.806 11.573 14.531 13.026
88.25 14.268 11.152 13.999 12.551000000000002
88.75 13.752 10.749 13.489 12.095
89.25 13.257 10.361 13. 11.658
89.75 12.782 9.99 12.53 11.238999999999999
90.25 12.326 9.6334 12.079 10.835999999999999
90.75 11.888 9.291 11.647 10.449
91.25 11.467 8.9622 11.232 10.078
91.75 11.063 8.6464 10.834 9.7218
92.25 10.675 8.343 10.451 9.3795
92.75 10.303 8.0515 10.083 9.0507
93.25 9.9446 7.7714 9.7299 8.7347
93.75 9.6003 7.5022 9.3906 8.4311
94.25 9.2693 7.2434 9.0645 8.1392
94.75 8.9511 6.9945 8.751 7.8586
95.25 8.6451 6.7551 8.4496 7.5888
95.75 8.3507 6.5249 8.1598 7.3294
96.25 8.0675 6.3035 7.8811 7.0798
96.75 7.795 6.0904 7.613 6.8396
97.25 7.5328 5.8853 7.355 6.6086
97.75 7.2804 5.6879 7.1068 6.3862
98.25 7.0374 5.4979 6.8679 6.1722
98.75 6.8034 5.3149 6.6379 5.9661
99.25 6.5781 5.1387 6.4165 5.7677
99.75 6.361 4.969 6.2033 5.5766
100.25 6.1519 4.8055 5.9979 5.3925
100.75 5.9505 4.6479 5.8001 5.2152
101.25 5.7563 4.4961 5.6095 5.0443
101.75 5.5692 4.3498 5.4258 4.8796
102.25 5.3887 4.2088 5.2488 4.7209
102.75 5.2148 4.0728 5.0782 4.5679
103.25 5.0471 3.9417 4.9137 4.4204
103.75 4.8854 3.8152 4.7551 4.2781
104.25 4.7294 3.6933 4.6022 4.141
104.75 4.579 3.5758 4.4549 4.0088
105.25 4.434 3.4623 4.3127 3.8812
105.75 4.294 3.3529 4.1756 3.7582
106.25 4.1589 3.2474 4.0434 3.6395
106.75 4.0286 3.1455 3.9158 3.525
107.25 3.9028 3.0471 3.7927 3.4145
107.75 3.7814 2.9522 3.6739 3.3078
108.25 3.6642 2.8606 3.5593 3.2048
108.75 3.551 2.7721 3.4486 3.1054
109.25 3.4417 2.6867 3.3418 3.0095
109.75 3.3362 2.6042 3.2386 2.9168
110.25 3.2343 2.5245 3.139 2.8273
110.75 3.1358 2.4476 3.0427 2.7409
111.25 3.0406 2.3732 2.9498 2.6573
111.75 2.9487 2.3013 2.86 2.5766
112.25 2.8598 2.2319 2.7733 2.4987
112.75 2.774 2.1648 2.6895 2.4233
113.25 2.6909 2.0999 2.6085 2.3505
113.75 2.6107 2.0371 2.5302 2.2801
114.25 2.5331 1.9765 2.4545 2.2121
114.75 2.4581 1.9179 2.3813 2.1463
115.25 2.3855 1.8611 2.3105 2.0826
115.75 2.3153 1.8063 2.2421 2.0211
116.25 2.2474 1.7532 2.1759 1.9615
116.75 2.1817 1.7019 2.1119 1.904
117.25 2.1181 1.6522 2.05 1.8482
117.75 2.0566 1.6041 1.9901 1.7943
118.25 1.997 1.5576 1.9321 1.7422
118.75 1.9394 1.5125 1.876 1.6917
119.25 1.8836 1.4689 1.8217 1.6428
119.75 1.8296 1.4267 1.7691 1.5955
120.25 1.7772 1.3859 1.7182 1.5496
120.75 1.7266 1.3463 1.6689 1.5053
121.25 1.6775 1.3079 1.6212 1.4623
121.75 1.63 1.2708 1.575 1.4207
122.25 1.5839 1.2348 1.5302 1.3804
122.75 1.5393 1.2 1.4868 1.3413
123.25 1.4961 1.1662 1.4448 1.3035
123.75 1.4541 1.1335 1.4041 1.2668
124.25 1.4135 1.1018 1.3646 1.2313
124.75 1.3741 1.071 1.3264 1.1969
125.25 1.336 1.0412 1.2893 1.1635
125.75 1.299 1.0123 1.2534 1.1311
126.25 1.2631 0.98433 1.2185 1.0997
126.75 1.2283 0.95717 1.1848 1.0693
127.25 1.1946 0.93085 1.1521 1.0399
127.75 1.1619 0.90532 1.1203 1.0113
128.25 1.1302 0.88057 1.0896 0.98356
128.75 1.0995 0.85656 1.0597 0.9566800000000001
129.25 1.0696 0.83327 1.0308 0.9306200000000001
129.75 1.0407 0.81069 1.0028 0.9053300000000001
130.25 1.0126 0.78878 0.97554 0.88081
130.75 0.9854 0.76752 0.94915 0.85702
131.25 0.95898 0.74689 0.92354 0.8339300000000001
131.75 0.93333 0.72687 0.89869 0.8115399999999999
132.25 0.90844 0.70745 0.87458 0.7898000000000001
132.75 0.88429 0.6886 0.85119 0.76871
133.25 0.86085 0.6703 0.82849 0.74824
133.75 0.83809 0.65254 0.80645 0.72837
134.25 0.81599 0.6353 0.78506 0.70908
134.75 0.79454 0.61855 0.7643 0.6903600000000001
135.25 0.77371 0.6023 0.74414 0.67218
135.75 0.75348 0.58652 0.72457 0.6545300000000001
136.25 0.73384 0.57119 0.70557 0.63739
136.75 0.71476 0.5563 0.68712 0.6207400000000001
137.25 0.69622 0.54184 0.66919 0.60458
137.75 0.67822 0.5278 0.65179 0.58888
138.25 0.66073 0.51415 0.63488 0.57362
138.75 0.64374 0.50089 0.61846 0.5588000000000001
139.25 0.62723 0.48801 0.6025 0.54441
139.75 0.61118 0.4755 0.587 0.53042
140.25 0.59559 0.46334 0.57194 0.51683
140.75 0.58044 0.45152 0.5573 0.5036200000000001
141.25 0.56571 0.44003 0.54307 0.49078
141.75 0.55139 0.42886 0.52925 0.47830000000000006
142.25 0.53746 0.418 0.51581 0.46617
142.75 0.52393 0.40745 0.50275 0.45438
143.25 0.51077 0.39719 0.49005 0.44291
143.75 0.49797 0.38721 0.4777 0.43177000000000004
144.25 0.48553 0.37751 0.46569 0.42093
144.75 0.47342 0.36807 0.45402 0.41039000000000003
145.25 0.46165 0.35889 0.44266 0.40014000000000005
145.75 0.4502 0.34996 0.43162 0.39017
146.25 0.43906 0.34128 0.42087 0.38047000000000003
146.75 0.42822 0.33283 0.41043 0.37103
147.25 0.41767 0.32461 0.40026 0.36185
147.75 0.40741 0.31661 0.39037 0.35292
148.25 0.39742 0.30883 0.38075 0.34423000000000004
148.75 0.3877 0.30126 0.37138 0.33577
149.25 0.37824 0.29389 0.36227 0.32754
149.75 0.36903 0.28671 0.3534 0.31954
150.25 0.36007 0.27973 0.34477 0.31174
150.75 0.35134 0.27293 0.33636 0.30415000000000003
151.25 0.34284 0.26631 0.32818 0.29676
151.75 0.33457 0.25986 0.32021 0.28956
152.25 0.32651 0.25359 0.31246 0.28256000000000003
152.75 0.31866 0.24748 0.30491 0.27574000000000004
153.25 0.31102 0.24153 0.29756 0.2691
153.75 0.30358 0.23573 0.2904 0.26263000000000003
154.25 0.29634 0.23009 0.28343 0.25634
154.75 0.28928 0.2246 0.27664 0.25021
155.25 0.28241 0.21925 0.27004 0.24424
155.75 0.27572 0.21404 0.2636 0.23842
156.25 0.2692 0.20896 0.25733 0.23276
156.75 0.26284 0.20402 0.25123 0.22724000000000003
157.25 0.25666 0.1992 0.24528 0.22187
157.75 0.25063 0.19451 0.23949 0.21663000000000002
158.25 0.24476 0.18994 0.23384 0.21154000000000003
158.75 0.23903 0.18548 0.22835 0.20657000000000003
159.25 0.23346 0.18114 0.22299 0.20173000000000002
159.75 0.22802 0.17691 0.21777 0.19701000000000002
160.25 0.22273 0.17279 0.21269 0.19241
160.75 0.21757 0.16878 0.20773 0.18793
161.25 0.21254 0.16486 0.2029 0.18357
161.75 0.20763 0.16105 0.1982 0.17932
162.25 0.20286 0.15733 0.19361 0.17517000000000002
162.75 0.1982 0.15371 0.18914 0.17113
163.25 0.19365 0.15017 0.18478 0.16719
163.75 0.18923 0.14673 0.18053 0.16335
164.25 0.18491 0.14337 0.17639 0.15960000000000002
164.75 0.1807 0.1401 0.17236 0.15596000000000002
165.25 0.1766 0.1369 0.16842 0.1524
165.75 0.17259 0.13379 0.16458 0.14893
166.25 0.16869 0.13076 0.16084 0.14554
166.75 0.16488 0.1278 0.15719 0.14224
167.25 0.16117 0.12491 0.15363 0.13903000000000001
167.75 0.15755 0.12209 0.15016 0.13589
168.25 0.15402 0.11935 0.14678 0.13283
168.75 0.15057 0.11667 0.14347 0.12984
169.25 0.14721 0.11406 0.14025 0.12693000000000002
169.75 0.14393 0.11151 0.13711 0.12408999999999999
170.25 0.14073 0.10902 0.13405 0.12132000000000001
170.75 0.13761 0.10659 0.13106 0.11861
171.25 0.13456 0.10422 0.12814 0.11597
171.75 0.13159 0.10191 0.1253 0.1134
172.25 0.12869 0.099659 0.12252 0.11089
172.75 0.12585 0.097459 0.11981 0.10844000000000001
173.25 0.12309 0.095312 0.11717 0.10605
173.75 0.12039 0.093216 0.11459 0.10371
174.25 0.11776 0.091171 0.11207 0.10143
174.75 0.11519 0.089174 0.10961 0.09920899999999999
175.25 0.11268 0.087225 0.10721 0.097038
175.75 0.11023 0.085323 0.10487 0.09491899999999999
176.25 0.10784 0.083465 0.10258 0.09285
176.75 0.10551 0.081652 0.10035 0.09083000000000001
177.25 0.10323 0.079881 0.098167 0.08885799999999999
177.75 0.101 0.078152 0.096038 0.086932
178.25 0.098826 0.076463 0.09396 0.085052
178.75 0.096703 0.074814 0.091931 0.083216
179.25 0.094629 0.073204 0.089949 0.08142300000000001
179.75 0.092603 0.071631 0.088013 0.079671
180.25 0.090624 0.070095 0.086123 0.077961
180.75 0.088692 0.068595 0.084277 0.07629
181.25 0.086804 0.067129 0.082473 0.074658
181.75 0.084959 0.065697 0.080711 0.073064
182.25 0.083156 0.064298 0.07899 0.071506
182.75 0.081395 0.062931 0.077308 0.069985
183.25 0.079674 0.061596 0.075665 0.068498
183.75 0.077993 0.060291 0.074059 0.06704500000000001
184.25 0.07635 0.059015 0.07249 0.065626
184.75 0.074743 0.057769 0.070957 0.064238
185.25 0.073174 0.056551 0.069459 0.062882
185.75 0.071639 0.055361 0.067995 0.06155700000000001
186.25 0.07014 0.054198 0.066564 0.060262
186.75 0.068675 0.053061 0.065166 0.058997
187.25 0.067242 0.05195 0.063799 0.05776
187.75 0.065842 0.050864 0.062463 0.056551000000000004
188.25 0.064474 0.049802 0.061158 0.05537
188.75 0.063136 0.048765 0.059882 0.054215
189.25 0.061828 0.04775 0.058634 0.053086
189.75 0.060549 0.046759 0.057415 0.051983
190.25 0.059299 0.045789 0.056223 0.050904
190.75 0.058077 0.044842 0.055058 0.049849
191.25 0.056882 0.043915 0.053919 0.048819
191.75 0.055714 0.043009 0.052806 0.047811000000000006
192.25 0.054572 0.042124 0.051717 0.046825000000000006
192.75 0.053455 0.041258 0.050652 0.045862
193.25 0.052363 0.040411 0.049612 0.04492
193.75 0.051294 0.039583 0.048594 0.043998
194.25 0.05025 0.038774 0.047599 0.043098000000000004
194.75 0.049229 0.037982 0.046626 0.042217000000000005
195.25 0.048229 0.037208 0.045674 0.041355
195.75 0.047252 0.036451 0.044743 0.04051300000000001
196.25 0.046297 0.03571 0.043833 0.039689
196.75 0.045362 0.034986 0.042943 0.038883
197.25 0.044448 0.034277 0.042073 0.038095
197.75 0.043553 0.033585 0.041221 0.037325
198.25 0.042678 0.032907 0.040389 0.036571
198.75 0.041823 0.032244 0.039574 0.035833
199.25 0.040985 0.031595 0.038777 0.035112000000000004
199.75 0.040166 0.030961 0.037998 0.034406

