# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.963702  0.93344  0.986688
0.75  0.96615  0.93629  0.98964
1.25  0.9688  0.940432  0.991735
1.75  0.971746  0.945666  0.992918
2.25  0.975911  0.951909  0.995844
2.75  0.980731  0.958746  0.998681
3.25  0.984263  0.964606  1.00159
3.75  0.987373  0.969238  1.00314
4.25  0.990097  0.972811  1.0034
4.75  0.991706  0.975329  1.00332
5.25  0.992256  0.976868  1.00288
5.75  0.993042  0.979206  1.00325
6.25  0.994058  0.982286  1.00442
6.75  0.995063  0.985268  1.00557
7.25  0.99595  0.987037  1.00605
7.75  0.996724  0.987661  1.00587
8.25  0.99749  0.98828  1.00569
8.75  0.998251  0.988895  1.00551
9.25  0.998606  0.989451  1.00544
9.75  0.998559  0.989948  1.00549
10.25  0.998512  0.990443  1.00553
10.75  0.998466  0.990935  1.00557
11.25  0.998773  0.991609  1.00578
11.75  0.999431  0.992461  1.00615
12.25  1.00008  0.993305  1.00652
12.75  1.00073  0.994142  1.0069
13.25  1.00138  0.994971  1.00727
13.75  1.00202  0.995793  1.00763
14.25  1.00265  0.996608  1.008
14.75  1.00328  0.997416  1.00837
15.25  1.00391  0.998217  1.00873
15.75  1.00453  0.999011  1.0091
16.25  1.0049  0.999426  1.00937
16.75  1.00501  0.999467  1.00955
17.25  1.00511  0.999508  1.00972
17.75  1.00522  0.999549  1.0099
18.25  1.00533  0.99959  1.01008
18.75  1.00543  0.99963  1.01026
19.25  1.00554  0.999671  1.01044
19.75  1.00564  0.999712  1.01061
20.25  1.00575  0.999753  1.01079
20.75  1.00586  0.999793  1.01097
21.25  1.00596  0.999834  1.01114
21.75  1.00607  0.999875  1.01132
22.25  1.00617  0.999915  1.01149
22.75  1.00628  0.999956  1.01167
23.25  1.00639  0.999997  1.01184
23.75  1.00649  1.00004  1.01202
24.25  1.0066  1.00008  1.01219
24.75  1.0067  1.00012  1.01237
25.25  1.00681  1.00016  1.01254
25.75  1.00691  1.0002  1.01271
26.25  1.00702  1.00024  1.01289
26.75  1.00712  1.00028  1.01306
27.25  1.00723  1.00032  1.01323
27.75  1.00733  1.00036  1.0134
28.25  1.00743  1.0004  1.01358
28.75  1.00754  1.00044  1.01375
29.25  1.00764  1.00048  1.01392
29.75  1.00775  1.00052  1.01409
30.25  1.00785  1.00056  1.01426
30.75  1.00795  1.0006  1.01443
31.25  1.00806  1.00064  1.0146
31.75  1.00816  1.00068  1.01477
32.25  1.00826  1.00072  1.01494
32.75  1.00837  1.00077  1.01511
33.25  1.00847  1.00081  1.01528
33.75  1.00857  1.00085  1.01545
34.25  1.00868  1.00089  1.01562
34.75  1.00878  1.00093  1.01578
35.25  1.00883  1.00095  1.01587
35.75  1.00883  1.00095  1.01587
36.25  1.00883  1.00095  1.01587
36.75  1.00883  1.00095  1.01587
37.25  1.00883  1.00095  1.01587
37.75  1.00883  1.00095  1.01587
38.25  1.00883  1.00095  1.01587
38.75  1.00883  1.00095  1.01587
39.25  1.00883  1.00095  1.01587
39.75  1.00883  1.00095  1.01587
40.25  1.00883  1.00095  1.01587
40.75  1.00883  1.00095  1.01587
41.25  1.00883  1.00095  1.01587
41.75  1.00883  1.00095  1.01587
42.25  1.00883  1.00095  1.01587
42.75  1.00883  1.00095  1.01587
43.25  1.00883  1.00095  1.01587
43.75  1.00883  1.00095  1.01587
44.25  1.00883  1.00095  1.01587
44.75  1.00883  1.00095  1.01587
45.25  1.00883  1.00095  1.01587
45.75  1.00883  1.00095  1.01587
46.25  1.00883  1.00095  1.01587
46.75  1.00883  1.00095  1.01587
47.25  1.00883  1.00095  1.01587
47.75  1.00883  1.00095  1.01587
48.25  1.00883  1.00095  1.01587
48.75  1.00883  1.00095  1.01587
49.25  1.00883  1.00095  1.01587
49.75  1.00883  1.00095  1.01587
50.25  1.  1.  1.
50.75  1.  1.  1.
51.25  1.  1.  1.
51.75  1.  1.  1.
52.25  1.  1.  1.
52.75  1.  1.  1.
53.25  1.  1.  1.
53.75  1.  1.  1.
54.25  1.  1.  1.
54.75  1.  1.  1.
55.25  1.  1.  1.
55.75  1.  1.  1.
56.25  1.  1.  1.
56.75  1.  1.  1.
57.25  1.  1.  1.
57.75  1.  1.  1.
58.25  1.  1.  1.
58.75  1.  1.  1.
59.25  1.  1.  1.
59.75  1.  1.  1.
60.25  1.  1.  1.
60.75  1.  1.  1.
61.25  1.  1.  1.
61.75  1.  1.  1.
62.25  1.  1.  1.
62.75  1.  1.  1.
63.25  1.  1.  1.
63.75  1.  1.  1.
64.25  1.  1.  1.
64.75  1.  1.  1.
65.25  1.  1.  1.
65.75  1.  1.  1.
66.25  1.  1.  1.
66.75  1.  1.  1.
67.25  1.  1.  1.
67.75  1.  1.  1.
68.25  1.  1.  1.
68.75  1.  1.  1.
69.25  1.  1.  1.
69.75  1.  1.  1.
70.25  1.  1.  1.
70.75  1.  1.  1.
71.25  1.  1.  1.
71.75  1.  1.  1.
72.25  1.  1.  1.
72.75  1.  1.  1.
73.25  1.  1.  1.
73.75  1.  1.  1.
74.25  1.  1.  1.
74.75  1.  1.  1.
75.25  1.  1.  1.
75.75  1.  1.  1.
76.25  1.  1.  1.
76.75  1.  1.  1.
77.25  1.  1.  1.
77.75  1.  1.  1.
78.25  1.  1.  1.
78.75  1.  1.  1.
79.25  1.  1.  1.
79.75  1.  1.  1.
80.25  1.  1.  1.
80.75  1.  1.  1.
81.25  1.  1.  1.
81.75  1.  1.  1.
82.25  1.  1.  1.
82.75  1.  1.  1.
83.25  1.  1.  1.
83.75  1.  1.  1.
84.25  1.  1.  1.
84.75  1.  1.  1.
85.25  1.  1.  1.
85.75  1.  1.  1.
86.25  1.  1.  1.
86.75  1.  1.  1.
87.25  1.  1.  1.
87.75  1.  1.  1.
88.25  1.  1.  1.
88.75  1.  1.  1.
89.25  1.  1.  1.
89.75  1.  1.  1.
90.25  1.  1.  1.
90.75  1.  1.  1.
91.25  1.  1.  1.
91.75  1.  1.  1.
92.25  1.  1.  1.
92.75  1.  1.  1.
93.25  1.  1.  1.
93.75  1.  1.  1.
94.25  1.  1.  1.
94.75  1.  1.  1.
95.25  1.  1.  1.
95.75  1.  1.  1.
96.25  1.  1.  1.
96.75  1.  1.  1.
97.25  1.  1.  1.
97.75  1.  1.  1.
98.25  1.  1.  1.
98.75  1.  1.  1.
99.25  1.  1.  1.
99.75  1.  1.  1.
100.25  1.  1.  1.
100.75  1.  1.  1.
101.25  1.  1.  1.
101.75  1.  1.  1.
102.25  1.  1.  1.
102.75  1.  1.  1.
