# this is FONLL_1.3.2 3 optimal choices 
# first, total cross section (in fm2)
3
0.000279039d0   0.000291444d0  0.000300523d0
# cross section is ds/dpt (pb/GeV)
# pt     fit 1                  fit 2               fit 3 
300 0.1d0
0.05  10555.228535050252  10212.905169837682  11119.566231376457
0.15  30914.511639909957  29957.206108284605  32372.723871632963
0.25  50469.01587684502  48963.52972368701  52579.28491585441
0.35  69377.4399709063  67376.94016002068  71979.64605221129
0.45  87622.8560580884  85191.59590813219  90646.97149014683
0.55  105122.03547369792  102343.24036733432  108554.78275386253
0.65  121866.5142857322  118816.29617988472  125668.2397436235
0.75  137764.59989749518  134529.95580249486  141910.6942400131
0.85  152717.54643562183  149386.86074927493  157184.5939637737
0.95  166619.5547500782  163289.65253433518  171413.2906954887
1.05  179414.19862751302  176170.18021755278  184520.13621574128
1.15  191045.05185457476  187989.5004045718  196477.25844474364
1.25  201476.84804791876  198718.4055496253  207242.84926281398
1.35  210674.32082420043  208308.2164097684  216796.00461011135
1.45  218637.47018341976  216749.19713641217  225122.78844674176
1.55  225352.18957223892  224021.87603237855  232244.10483254623
1.65  230846.69209733355  230135.98894625658  238152.9857475777
1.75  235135.0843120416  235101.27172663526  242891.23931151806
1.85  238259.68587637655  238956.6677678704  246479.76958420817
1.95  240262.816450352  241711.91291855113  248967.35270527683
2.05  241200.90224731938  243435.1581188002  250402.76481435288
2.15  241123.31620396118  244145.87506579555  250827.81403111812
2.25  240086.4845336288  243902.47885107112  250312.18055504226
2.35  238160.94000301155  242773.1204147497  248904.6405257541
2.45  235424.26865546763  240806.47899977618  246667.90612277636
2.55  231947.0032576863  238070.70554627344  243685.59358547276
2.65  227834.94295970144  234663.15854013123  240048.28717315386
2.75  223179.78035820922  230661.7247700614  235818.6990653424
2.85  218023.83511322306  226105.34763041977  231073.4774814551
2.95  212437.63999143234  221071.9139099183  225854.43054117376
3.05  206477.6212061885  215619.8387000907  220224.27042402115
3.15  200242.52463085644  209817.27294105996  214266.61336936086
3.25  193788.77647878762  203751.8392701268  208051.13957666262
3.35  187179.85624000238  197462.4810816472  201633.5932055023
3.45  180451.03029784537  190997.87761856592  195048.81435561457
3.55  173658.72486566805  184406.70812382796  188345.57916662842
3.65  166845.25960348392  177747.38768896717  181586.59981806646
3.75  160060.0074479755  171058.85970833947  174799.7483897166
3.85  153338.23478248745  164370.33172771172  168026.83300126073
3.95  146694.0481603576  157730.4829900289  161295.72573248667
4.05  140162.71396493056  151158.78519246887  154634.2986631823
4.15  133765.39202621317  144674.7100322097  148070.42387313556
4.25  127530.29545088112  138326.93675219617  141631.97344213424
4.35  121457.4242389344  132105.7295038394  135325.91539012542
4.45  115567.9382203798  126040.29583290622  129173.15377694996
4.55  109868.89067188626  120140.3715879857  123187.6246425018
4.65  104367.33487012266  114425.42846625575  117383.2640266749
4.75  99070.324091758  108895.46646771637  111767.03994941618
4.85  93984.91161346114  103550.4855923676  106331.98439077873
4.95  89096.99088189428  98409.9575373873  101099.00141060347
5.05  84413.61517372631  93455.38419045652  96061.12298894337
5.15  79941.83776562617  88705.26366389428  91225.31714574542
5.25  75667.552104256  84154.72803340606  86584.61586106269
5.35  71597.81146628474  79798.90937469741  82139.01913489513
5.45  67718.50929837453  75631.96617861492  77888.52696724277
5.55  64022.59232385642  71651.95127544082  73826.17133815865
5.65  60512.881853398016  67858.86466517508  69951.95224764272
5.75  57183.029937997264  64248.81200838211  66256.81126976394
5.85  54023.867317984565  60814.004626190756  62740.74840452234
5.95  51029.751372024766  57547.62742458871  59394.00842399213
6.05  48192.21816811517  54442.8653095637  56211.01691221573
6.15  45506.33041258752  51495.82394168013  53187.59305722498
6.25  42964.32950110598  48701.63539664351  50319.55604705169
6.35  40561.27814000233  46051.53741072376  47598.54425775948
6.45  38288.71239727383  43541.63564448529  45018.98327339078
6.55  36142.40030691914  41163.167834198015  42573.90507399863
6.65  34115.28859226934  38912.239640426356  40258.43204562013
6.75  32201.029304322365  36783.00955401692  38065.59616830834
6.85  30395.390477076882  34767.688896098516  35989.82302610565
6.95  28691.31883386396  32863.35691209447  34026.2350050492
7.05  27084.582408682236  31062.22492313358  32169.257689181406
7.15  25568.127924862787  29360.398589780267  30413.316662544694
7.25  24138.428744071152  27753.009987740035  28753.53431117618
7.35  22789.84224497218  26234.217607859504  27185.033021112988
7.45  21518.841789231417  24800.127110703077  25704.328782381635
7.55  20321.900738514392  23446.84415683517  24305.84717902454
7.65  19192.671143819072  22168.52723710239  22984.01379508412
7.75  18128.331694477885  20961.28201206914  21735.344620586904
7.85  17124.650424489482  19821.214142299847  20555.6588435647
7.95  16178.806023186278  18745.4028732178  19442.16925603872
8.05  15287.977179900716  17729.95386538742  18390.695046040782
8.15  14447.931928631431  16771.946364232008  17398.4490055921
8.25  13656.554286377746  15867.486030315973  16461.25032272449
8.35  12910.317614805199  15013.652109062623  15576.31178945916
8.45  12206.400603246218  14207.523845895263  14740.846197817329
