# this is FONLL_1.3.2 3 optimal choices 
# first, total cross section (in fm2)
3
0.000279039d0   0.000291444d0  0.000300523d0
# cross section is ds/dpt (pb/GeV)
# pt     fit 1                  fit 2               fit 3 
300 0.1d0
8.55  11543.392596367017  13447.154071096098  13952.066339820201
8.65  10917.766955833134  12728.648445229537  13207.185007488994
8.75  10328.11302631078  12051.033383436685  12504.11179483961
8.85  9772.314824799281  11411.388131140846  11840.059493893266
8.95  9247.551040631062  10806.79193376533  11212.93769866587
9.05  8753.116346139233  10236.271206451227  10620.656003173326
9.15  8286.18943065622  9697.586704023088  10061.820803426244
9.25  7846.064966515135  9188.596539791331  9532.948089451142
9.35  7430.626970715297  8707.9376949535  9034.03786124801
9.45  7038.394255156229  8253.857716763576  8562.302910838067
9.55  6668.2382955709045  7824.896227933215  8117.046436226617
9.65  6318.818969392228  7419.49549268818  7696.178031429562
9.75  5988.796154053101  7036.389850711905  7298.304092457514
9.85  5677.111858053189  6674.118924716042  6921.682614323727
9.95  5382.637557125459  6331.709129841694  6565.895515831383
10.05  5104.456325302952  6007.894805772293  6229.479512791618
10.15  4841.651236618706  5701.605009163053  5911.389402212388
10.25  4593.234832339074  5411.963513640964  5610.440620702709
10.35  4358.360719263783  5137.996734347129  5325.797005868939
10.45  4136.39410249263  4878.82844490854  5056.552715117977
10.55  3926.5591215920317  4633.582418952191  4801.801905856713
10.65  3728.0799161284067  4401.57714707685  4560.778095890984
10.75  3540.392223968242  4181.936402909512  4332.645122827151
10.85  3362.861250211333  3974.1733940207264  4116.8455450694555
10.95  3194.9227327241642  3777.4118940374856  3912.4735200247937
11.05  3035.871343839846  3590.970393558561  3718.971606097407
11.15  2885.2838869582397  3414.362100154505  3535.503640893658
11.25  2742.6666327125226  3247.0028629099775  3361.7212234161993
11.35  2607.5258517358684  3088.308530909639  3196.997231869803
11.45  2479.579412961521  2937.9870286958226  3040.8439048581813
11.55  2358.263054255965  2795.3568468672975  2892.773480985046
11.65  2243.3651773191336  2660.1259099663966  2752.4375592530478
11.75  2134.3920527842006  2532.002142535449  2619.2786980664305
11.85  2031.1320823511  2410.401393659117  2493.0878568267844
11.95  1933.1620694196947  2294.9342293938407  2373.3075939383516
12.05  1840.3409484566064  2185.5032912537304  2259.728868802723
12.15  1752.2455228617  2081.621786809337  2152.00328042255
12.25  1668.6641943349073  1983.0949990888823  2049.7127476010146
12.35  1589.3853645761603  1889.533494148806  1952.6482297397067
12.45  1514.1269025187023  1800.6451965314388  1860.5310060407494
12.55  1442.6772098624647  1716.3327477508913  1773.0823557062618
12.65  1374.8952210740697  1636.2067138636044  1690.0235579383666
12.75  1310.428272320071  1560.072377897798  1611.145572138654
12.85  1249.2763636004681  1487.6376643958035  1536.0999973097757
12.95  1191.1573638485042  1418.9025733576204  1464.8171532522613
13.05  1135.8596747641113  1353.4776708396898  1397.0879993677022
13.15  1083.3832963472894  1291.3629568420117  1332.7034950576897
13.25  1033.5166302979708  1232.2663559069167  1271.4545997238138
13.35  986.0480783160876  1175.993151062625  1213.2019529671356
13.45  940.97764040164  1122.5433423091372  1157.875874588185
13.55  898.0937182545598  1071.6248541887835  1105.1976437890837
13.65  857.3257791081577  1023.2376867015638  1055.0975803703616
13.75  818.4622246623663  977.187122875699  1007.4363239330793
13.85  781.5735876838747  933.3368608309431  962.0745140782976
13.95  746.4482698726148  891.5992779299954  918.872790407077
14.05  713.0157384618976  851.867279838377  877.7614727199476
14.15  681.1560877483514  814.0240363730205  838.6012006179699
14.25  650.8411046253003  777.9819248966247  801.3919741011442
14.35  621.9649899427104  743.6338510747112  765.8550723715917
14.45  594.4572109338926  710.9116639671569  732.060175628782
14.55  568.2472348321573  679.7180050880722  699.8679234737757
14.65  543.2645288708155  649.984723497334  669.1110834278454
14.75  519.4526668365157  621.6241965576418  639.8244955907259
14.85  496.7481692392376  594.5780091774616  611.8966716432658
14.95  475.10871641896756  568.7974821138483  585.2718674258892
15.05  454.47082888568514  544.1949927295016  559.8804027391266
15.15  434.78513370270804  520.7315976300652  535.6665334234021
15.25  416.0163644866916  498.34888172400514  512.5675472991929
15.35  398.1080950242843  476.98842991978796  490.52770020692344
15.45  381.0321122088103  456.6015629744685  469.4982160069647
15.55  364.7319898269185  437.14933749369095  449.43728657963493
15.65  349.1724614952641  418.5830742345104  430.2891677653584
15.75  334.3323673838403  400.85409395398176  412.0120514444532
15.85  320.15528127929565  383.9331891063384  394.57109751718457
15.95  306.62709662829235  367.7619446000464  377.91056182397676
16.05  293.7125470474859  352.33062458651654  362.00257228504177
16.15  281.3693128768624  337.5808139742153  346.8122888006448
16.25  269.5832875630843  323.49304106596446  332.29790325110406
16.35  258.3262579994758  310.02836246740816  318.43851157657855
16.45  247.56295780269213  297.1673064813685  305.1923056573865
16.55  237.2792804193956  284.8611938649006  292.5244453937931
16.65  227.4540660195794  273.1002887694155  280.4209947459043
16.75  218.05204821989875  261.8553836491461  268.84014559403835
16.85  209.059120467016  251.08753510973676  257.76796189830134
16.95  200.46117620759318  240.79674315118723  247.18353959885224
17.05  192.2370556116235  230.9538002277307  237.05203859595628
17.15  184.37265212576918  221.53923464218923  227.3595228497195
17.25  176.8538591966923  212.52383884879578  218.092056320248
17.35  169.65246371771713  203.8978769989615  209.22873494770076
17.45  162.76846568884375  195.6516132440973  200.74168665228996
17.55  156.1807052800653  187.75584003843636  192.62394341406866
17.65  149.87507593804395  180.1910856848006  184.85460117319587
17.75  143.83747110944188  172.95735018319013  177.4127558698308
17.85  138.06083751759013  166.02542598783796  170.2984075039733
17.95  132.53106860915085  159.39531309874408  163.48368399583558
18.05  127.23405783078618  153.0475398187306  156.95464930552367
18.15  122.16980518249609  146.9626344506195  150.71130343303759
18.25  117.31009755760493  141.14059699441077  144.7257742985894
18.35  112.6619882327816  135.5619557529265  138.9980619021792
18.45  108.20431737801931  130.2169748775777  133.50726218396596
18.55  103.94413826998702  125.0861826711864  128.24640712400281
18.65  99.85323780200895  120.17931498234161  123.2085287023427
18.75  95.9316159740852  115.47690011386536  118.37969087909177
18.85  92.17927278621566  110.96920221716863  113.75292563430295
18.95  88.57504840839363  106.63674959507354  109.32126494802934
19.05  85.125996117288  102.489278096169  105.06380476043002
19.15  81.8180093595609  98.51705187186607  100.98054507150496
19.25  78.63698158187454  94.69573130069229  97.07148588125418
19.35  75.58996606089781  91.03310506151887  93.30875510988979
19.45  72.66990951996173  87.51943730575678  89.71325681725271
19.55  69.8655267163961  84.1479129393938  86.25015090360807
19.65  67.17540699486709  80.91366403813538  82.9403414287968
19.75  64.59461306170644  77.80890192311035  79.75595631303104
19.85  62.11820762324596  74.82973225488315  76.70396357625769
19.95  59.74195871348422  71.97128710915929  73.77042717858288
20.05  57.46163436641991  69.22675139192644  70.96231513995353
20.15  55.27300261605165  66.59320434860796  68.26151060850754
20.25  53.17324215171189  64.06480447005043  65.67149759421838
20.35  51.15671035206546  61.63863100167717  63.1853080771391
20.45  49.22129123411171  59.30884243433479  60.798064443306814
20.55  47.36345815951617  57.0715444285877  58.506979484742715
20.65  45.580389817611255  54.9238162298592  56.30717558748393
20.75  43.867854242395616  52.86176349871371  54.195168741557005
20.85  42.22303012320168  50.88051831085673  52.16677813499372
20.95  40.64380147702878  48.979107081429376  50.2192165598153
21.05  39.12664166554244  47.15168830127824  48.34830320405356
21.15  37.67014003340888  45.39631480068556  46.55125085972973
21.25  36.27006461462673  43.71006582507461  44.82457551687029
21.35  34.92571008152912  42.0900206198687  43.16618676949117
21.45  33.633549795781576  40.53325843049116  41.57260060761888
21.55  32.39217310205031  39.03685850236527  40.04102982327464
21.65  31.198758689667745  37.59984725063216  38.568687208479645
21.75  30.051190575633214  36.21735675099731  37.15417915924452
21.85  28.948058104612922  34.88743983374295  35.79262806160637
21.95  27.88653996593931  33.60814932915126  34.4833371135705
22.05  26.86593083194548  32.37753806750448  33.223519107158126
22.15  25.883409391963855  31.19365887908478  32.01178043837986
22.25  24.938975645994443  30.054564594174384  30.8453338992569
22.35  24.02980828336966  28.958308043055485  29.72348268779455
22.45  23.155201976422635  27.90391564086919  28.644136398008737
22.55  22.313746069819565  26.889440217897707  27.605901425910044
22.65  21.50473523589356  25.91293460442324  26.606687365514386
22.75  20.726053491643945  24.974398800445783  25.645100612832376
22.85  19.976290181736935  24.070912051388643  24.719747563874616
22.95  19.255445306172525  23.20052718753403  23.82993141664641
23.05  18.561402881950045  22.36421779374084  22.97286496316897
23.15  17.894162909069486  21.559063115432377  22.14854820344229
23.25  17.251609404530175  20.78408956774975  21.354890731482286
23.35  16.633037040665222  20.038323565834048  20.59119574529425
23.45  16.037740489807724  19.31981793996749  19.856766442883497
23.55  15.465719751957693  18.629546275008963  19.14881561627124
23.65  14.914153516447548  17.964587816381783  18.46804006745216
23.75  14.383747110944189  17.324942564085948  17.81304619243688
23.85  13.873089880113826  16.70866334840365  17.1817435852413
23.95  13.381476496289569  16.11575016933491  16.574829047860117
24.05  12.908201631804523  15.544255857161913  15.990212174309244
24.15  12.452559958991793  14.995153996743564  15.427196162593981
24.25  12.013846150184493  14.465523833503175  14.885084210719631
24.35  11.591354877715727  13.956338952299635  14.363179516691494
24.45  11.1843808139186  13.465652183415155  13.860785278514879
24.55  10.792923958793114  12.993463526849736  13.376507892200388
24.65  10.415573657005483  12.537825812885576  12.910347357748025
24.75  10.05232990855571  12.099712626381573  12.461606873163086
24.85  9.702487385776896  11.67717679761994  12.02889283445618
24.95  9.36463543333526  11.27021832660067  11.612205241627311
25.05  9.039479378897697  10.878837213323761  11.21015049068708
25.15  8.72631389479731  10.500112703212526  10.82203177964079
25.25  8.42372832570031  10.13501838112586  10.44854591048314
25.35  8.131722671606706  9.782580662204863  10.087602477230039
25.45  7.850296932516491  9.44348105585077  9.739201479881485
25.55  7.578745780762778  9.115967109317557  9.403342918437477
25.65  7.317069216345561  8.800038822605229  9.079329990903322
25.75  7.06456191159795  8.495306761770225  8.76716269727902
25.85  6.82080066991981  8.201478851354874  8.466144235569868
25.95  6.58585602407783  7.917970940443841  8.174881001786474
26.05  6.359234244705183  7.644685670551237  7.894766599918239
26.15  6.140653200735114  7.380941532275829  7.62440742597576
26.25  5.929830761100867  7.126641167131729  7.363106677964344
26.35  5.726484794735683  6.881395141175379  7.111561157878688
26.45  5.530333170572804  6.644814020463219  6.868934703325155
26.55  5.3411642903121646  6.41660572953758  6.634809233106927
26.65  5.158696022887005  6.196575551426682  6.408836346226654
26.75  4.9827167699972605  5.984236693701078  6.19094636248487
26.85  4.81294440057617  5.779589156360765  5.980790880884221
26.95  4.64923784909036  5.582146146976295  5.778021500427362
27.05  4.491314984473069  5.391712948575891  5.582429180515883
27.15  4.338964208424232  5.207997485701879  5.393735200351907
27.25  4.191973922643779  5.030902399868373  5.2117305193370225
27.35  4.050273594365023  4.860038257131814  5.036136416673351
27.45  3.913581092521205  4.69521034052042  4.866743851762484
27.55  3.781684818812257  4.536321291548303  4.703343784006012
27.65  3.654443707704802  4.3829816762719025  4.545727172805527
27.75  3.531716693665461  4.235094136205331  4.393684977562618
27.85  3.413362711160855  4.092463954376806  4.246938477479406
27.95  3.299875489557808  3.9548964138145504  4.105348312156954
28.05  3.1903381028893616  3.822196797546783  3.968775121196321
28.15  3.084680018388825  3.694170388601726  3.837009863999097
28.25  2.982689637756131  3.570622470007598  3.7098434999668743
28.35  2.884225895457901  3.4515530417644  3.587136668700714
28.45  2.7892182587274457  3.3365726699285716  3.4687500098016755
28.55  2.697525662031386  3.2256813545001157  3.3544744826713493
28.65  2.6089365070696546  3.1186843785072496  3.2441707269107973
28.75  2.5233097283088726  3.0151923080064162  3.1374903415226703
28.85  2.4405042602156617  2.9151077845117244  3.0342939661080277
28.95  2.360379037256643  2.818333449537285  2.9345816006668723
29.05  2.2829340594318173  2.7248693030830986  2.838074524401323
29.15  2.2080282612078057  2.6344232696914953  2.7447727373113797
29.25  2.1355911098179186  2.5469953493624744  2.6545368789981043
29.35  2.065552072495467  2.462488183610148  2.567366949461496
29.45  1.997770083707072  2.3807070554627345  2.4829842279036765
29.55  1.9324567417528018  2.3017493234061246  2.4014583945241146
29.65  1.8694709810992778  2.2254202704685393  2.3225804087244017
29.75  1.808601203446432  2.1516225381640877  2.2463502705045384
29.85  1.7496358104941967  2.0802587680068805  2.1726982996650537
29.95  1.6927158677759504  2.0113289599969177  2.1014154556075395
