# this is FONLL_1.3.2 3 optimal choices 
# first, total cross section (in fm2)
3
0.0736079d0 0.0838993d0 0.0840331d0
# cross section is ds/dpt (pb/GeV)
# pt     fit 1                  fit 2               fit 3 
300 0.1d0
2.75  1.4719871930984937e7  1.5758469603014821e7  1.632441039673511e7
2.85  1.2890031726575151e7  1.3821185328319127e7  1.4307262953208653e7
2.95  1.1298694220522726e7  1.2130655085047117e7  1.2545879914080298e7
3.05  9.913201366994495e6  1.0656543295122715e7  1.100917389318011e7
3.15  8.707129837998169e6  9.371227318346571e6  9.6688836303536e6
3.25  7.656035581046502e6  8.250414029186216e6  8.500987054469457e6
3.35  6.7395320584375765e6  7.273386447492137e6  7.483581688907953e6
3.45  5.939706826850779e6  6.421893900275474e6  6.597096611012106e6
3.55  5.241220501122047e6  5.678425606695567e6  5.823939186335749e6
3.65  4.630614007817104e6  5.02571741662782e6  5.145527636327308e6
3.75  4.096704440332475e6  4.45279426320731e6  4.550557456924986e6
3.85  3.6296943849182096e6  3.950284179223545e6  4.029349166525874e6
3.95  3.2210729569026334e6  3.5100483510463564e6  3.5732830807828526e6
4.05  2.8634178731418457e6  3.1245645418357425e6  3.174587353153438e6
4.15  2.5479213576384173e6  2.7847074150972744e6  2.823299889433174e6
4.25  2.268744547652479e6  2.4844345182873434e6  2.512849946636143e6
4.35  2.0219288921739494e6  2.218936552442669e6  2.238574416836854e6
4.45  1.8038127315185051e6  1.9841441107481685e6  1.9963047641625209e6
4.55  1.611130261102829e6  1.7766043631789226e6  1.7824376779434464e6
4.65  1.4412094589951166e6  1.592987795068045e6  1.5937937664122507e6
4.75  1.2909824481625555e6  1.4303348378227476e6  1.4269816783503958e6
4.85  1.1575792791228371e6  1.2856859228502428e6  1.2790339814416606e6
4.95  1.0390206763709214e6  1.1569570205997757e6  1.147760428024072e6
5.05  933693.5303702003  1.0422367430218379e6  1.0310414235860438e6
5.15  839945.1460739649  939934.3219978055  927322.5988190793
5.25  756479.0980264143  848619.299374498  834978.9312642956
5.35  682127.6136795742  767046.1900357837  752738.6642147406
5.45  615811.987883198  694105.1557593672  679372.4328536945
5.55  556502.9973746645  628723.3529303628  613806.3092952864
5.65  503408.93195195764  570074.5686499508  555135.933214573
5.75  455827.14881078806  517394.2476983277  502584.11995730584
5.85  413153.96892211854  470028.81867791916  455458.46864970005
5.95  374845.09152206295  427411.03094177454  413172.55814355
6.05  340425.49048941163  389010.6284503526  375182.35918088193
6.15  309469.62159058085  354396.00745053834  341028.62628418533
6.25  281611.3188571382  323160.22726082354  310287.4405511429
6.35  256504.2090757016  294933.3418071097  282577.2749696692
6.45  233821.7117879394  269394.7311585114  257558.99441791023
6.55  213316.4175557216  246273.1015273566  234957.05160935989
6.65  194780.5024510189  225321.8221975795  214517.0952026277
6.75  177996.2461682769  206306.5939889177  196013.03511647784
6.85  162785.51391204196  189054.7754001254  179261.17315990615
