# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.743195  0.575144  0.898209
0.75  0.758541  0.589424  0.919975
1.25  0.775461  0.610643  0.935703
1.75  0.794645  0.638425  0.944684
2.25  0.822442  0.673074  0.967216
2.75  0.855622  0.712968  0.989497
3.25  0.880655  0.748829  1.0128
3.75  0.903216  0.778286  1.02543
4.25  0.923386  0.801684  1.02755
4.75  0.935479  0.818514  1.02683
5.25  0.939645  0.82894  1.02326
5.75  0.945625  0.845004  1.02629
6.25  0.953405  0.866566  1.03588
6.75  0.961153  0.887892  1.04544
7.25  0.96804  0.900757  1.04945
7.75  0.974073  0.905329  1.04795
8.25  0.980089  0.909891  1.04645
8.75  0.986087  0.914441  1.04494
9.25  0.988895  0.918568  1.04436
9.75  0.988526  0.922274  1.04471
10.25  0.988158  0.925974  1.04506
10.75  0.987789  0.929666  1.0454
11.25  0.990225  0.934745  1.04714
11.75  0.995455  0.941202  1.05025
12.25  1.00067  0.947636  1.05337
12.75  1.00588  0.95405  1.05648
13.25  1.01107  0.960445  1.05958
13.75  1.01625  0.966818  1.06268
14.25  1.02142  0.973172  1.06577
14.75  1.02657  0.979505  1.06887
15.25  1.03171  0.985819  1.07195
15.75  1.03684  0.992115  1.07504
16.25  1.03985  0.995418  1.07734
16.75  1.04073  0.995743  1.07886
17.25  1.04162  0.996069  1.08039
17.75  1.0425  0.996395  1.08191
18.25  1.04338  0.99672  1.08343
18.75  1.04427  0.997046  1.08496
19.25  1.04515  0.997372  1.08648
19.75  1.04603  0.997696  1.08799
20.25  1.04692  0.998022  1.08951
20.75  1.0478  0.998347  1.09103
21.25  1.04868  0.998672  1.09255
21.75  1.04956  0.998998  1.09406
22.25  1.05044  0.999323  1.09558
22.75  1.05132  0.999648  1.09709
23.25  1.0522  0.999973  1.0986
23.75  1.05308  1.0003  1.10012
24.25  1.05396  1.00062  1.10163
24.75  1.05484  1.00095  1.10314
25.25  1.05572  1.00127  1.10464
25.75  1.0566  1.0016  1.10615
26.25  1.05748  1.00192  1.10766
26.75  1.05836  1.00225  1.10917
27.25  1.05923  1.00257  1.11067
27.75  1.06011  1.0029  1.11218
28.25  1.06099  1.00322  1.11368
28.75  1.06187  1.00354  1.11518
29.25  1.06274  1.00387  1.11668
29.75  1.06362  1.00419  1.11818
30.25  1.06449  1.00452  1.11968
30.75  1.06537  1.00484  1.12118
31.25  1.06624  1.00517  1.12268
31.75  1.06712  1.00549  1.12418
32.25  1.06799  1.00581  1.12567
32.75  1.06887  1.00614  1.12717
33.25  1.06974  1.00646  1.12866
33.75  1.07061  1.00679  1.13016
34.25  1.07149  1.00711  1.13165
34.75  1.07236  1.00743  1.13314
35.25  1.0728  1.0076  1.13389
35.75  1.0728  1.0076  1.13389
36.25  1.0728  1.0076  1.13389
36.75  1.0728  1.0076  1.13389
37.25  1.0728  1.0076  1.13389
37.75  1.0728  1.0076  1.13389
38.25  1.0728  1.0076  1.13389
38.75  1.0728  1.0076  1.13389
39.25  1.0728  1.0076  1.13389
39.75  1.0728  1.0076  1.13389
40.25  1.0728  1.0076  1.13389
40.75  1.0728  1.0076  1.13389
41.25  1.0728  1.0076  1.13389
41.75  1.0728  1.0076  1.13389
42.25  1.0728  1.0076  1.13389
42.75  1.0728  1.0076  1.13389
43.25  1.0728  1.0076  1.13389
43.75  1.0728  1.0076  1.13389
44.25  1.0728  1.0076  1.13389
44.75  1.0728  1.0076  1.13389
45.25  1.0728  1.0076  1.13389
45.75  1.0728  1.0076  1.13389
46.25  1.0728  1.0076  1.13389
46.75  1.0728  1.0076  1.13389
47.25  1.0728  1.0076  1.13389
47.75  1.0728  1.0076  1.13389
48.25  1.0728  1.0076  1.13389
48.75  1.0728  1.0076  1.13389
49.25  1.0728  1.0076  1.13389
49.75  1.0728  1.0076  1.13389
50.25  1.  1.  1.
50.75  1.  1.  1.
51.25  1.  1.  1.
51.75  1.  1.  1.
52.25  1.  1.  1.
52.75  1.  1.  1.
53.25  1.  1.  1.
53.75  1.  1.  1.
54.25  1.  1.  1.
54.75  1.  1.  1.
55.25  1.  1.  1.
55.75  1.  1.  1.
56.25  1.  1.  1.
56.75  1.  1.  1.
57.25  1.  1.  1.
57.75  1.  1.  1.
58.25  1.  1.  1.
58.75  1.  1.  1.
59.25  1.  1.  1.
59.75  1.  1.  1.
60.25  1.  1.  1.
60.75  1.  1.  1.
61.25  1.  1.  1.
61.75  1.  1.  1.
62.25  1.  1.  1.
62.75  1.  1.  1.
63.25  1.  1.  1.
63.75  1.  1.  1.
64.25  1.  1.  1.
64.75  1.  1.  1.
65.25  1.  1.  1.
65.75  1.  1.  1.
66.25  1.  1.  1.
66.75  1.  1.  1.
67.25  1.  1.  1.
