# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.865801  0.765014  0.954098
0.75  0.879179  0.775105  0.963209
1.25  0.893124  0.797431  0.974069
1.75  0.905215  0.81514  0.980257
2.25  0.924376  0.845838  0.995687
2.75  0.944501  0.864377  1.00162
3.25  0.959336  0.89496  1.0106
3.75  0.97059  0.916343  1.01766
4.25  0.97854  0.929858  1.0229
4.75  0.984015  0.940499  1.02609
5.25  0.98711  0.948472  1.02729
5.75  0.990891  0.955645  1.02921
6.25  0.995338  0.962057  1.03185
6.75  0.999738  0.968371  1.03447
7.25  1.00397  0.974776  1.03572
7.75  1.00805  0.981267  1.03563
8.25  1.01209  0.987658  1.03553
8.75  1.01608  0.993953  1.03543
9.25  1.01854  0.998733  1.03685
9.75  1.01948  1.00205  1.03977
10.25  1.02041  1.00534  1.04268
10.75  1.02134  1.00861  1.04556
11.25  1.02234  1.01037  1.04713
11.75  1.0234  1.01066  1.04738
12.25  1.02446  1.01095  1.04764
12.75  1.02552  1.01123  1.04789
13.25  1.02657  1.01152  1.04815
13.75  1.02762  1.01181  1.04841
14.25  1.02867  1.01209  1.04866
14.75  1.02972  1.01238  1.04892
15.25  1.03076  1.01267  1.04917
15.75  1.0318  1.01295  1.04943
16.25  1.03247  1.01329  1.0498
16.75  1.03276  1.01369  1.05028
17.25  1.03305  1.01409  1.05077
17.75  1.03334  1.01449  1.05125
18.25  1.03363  1.01489  1.05174
18.75  1.03392  1.01529  1.05222
19.25  1.03421  1.01568  1.0527
19.75  1.0345  1.01608  1.05319
20.25  1.03479  1.01648  1.05367
20.75  1.03508  1.01687  1.05415
21.25  1.03536  1.01727  1.05463
21.75  1.03565  1.01766  1.05511
22.25  1.03594  1.01806  1.05559
22.75  1.03623  1.01845  1.05607
23.25  1.03652  1.01885  1.05655
23.75  1.0368  1.01924  1.05702
24.25  1.03709  1.01964  1.0575
24.75  1.03738  1.02003  1.05798
25.25  1.03766  1.02042  1.05846
25.75  1.03795  1.02082  1.05893
26.25  1.03824  1.02121  1.05941
26.75  1.03852  1.0216  1.05988
27.25  1.03881  1.02199  1.06036
27.75  1.0391  1.02238  1.06083
28.25  1.03938  1.02277  1.06131
28.75  1.03967  1.02316  1.06178
29.25  1.03995  1.02355  1.06225
29.75  1.04024  1.02394  1.06273
30.25  1.04052  1.02433  1.0632
30.75  1.04081  1.02472  1.06367
31.25  1.04109  1.02511  1.06414
31.75  1.04138  1.0255  1.06461
32.25  1.04166  1.02589  1.06508
32.75  1.04195  1.02627  1.06555
33.25  1.04223  1.02666  1.06602
33.75  1.04252  1.02705  1.06649
34.25  1.0428  1.02744  1.06696
34.75  1.04308  1.02782  1.06742
35.25  1.04323  1.02802  1.06766
35.75  1.04323  1.02802  1.06766
36.25  1.04323  1.02802  1.06766
36.75  1.04323  1.02802  1.06766
37.25  1.04323  1.02802  1.06766
37.75  1.04323  1.02802  1.06766
38.25  1.04323  1.02802  1.06766
38.75  1.04323  1.02802  1.06766
39.25  1.04323  1.02802  1.06766
39.75  1.04323  1.02802  1.06766
40.25  1.04323  1.02802  1.06766
40.75  1.04323  1.02802  1.06766
41.25  1.04323  1.02802  1.06766
41.75  1.04323  1.02802  1.06766
42.25  1.04323  1.02802  1.06766
42.75  1.04323  1.02802  1.06766
43.25  1.04323  1.02802  1.06766
43.75  1.04323  1.02802  1.06766
44.25  1.04323  1.02802  1.06766
44.75  1.04323  1.02802  1.06766
45.25  1.04323  1.02802  1.06766
45.75  1.04323  1.02802  1.06766
46.25  1.04323  1.02802  1.06766
46.75  1.04323  1.02802  1.06766
47.25  1.04323  1.02802  1.06766
47.75  1.04323  1.02802  1.06766
48.25  1.04323  1.02802  1.06766
48.75  1.04323  1.02802  1.06766
49.25  1.04323  1.02802  1.06766
49.75  1.04323  1.02802  1.06766
50.25  1.  1.  1.
50.75  1.  1.  1.
51.25  1.  1.  1.
51.75  1.  1.  1.
52.25  1.  1.  1.
52.75  1.  1.  1.
53.25  1.  1.  1.
53.75  1.  1.  1.
54.25  1.  1.  1.
54.75  1.  1.  1.
55.25  1.  1.  1.
55.75  1.  1.  1.
56.25  1.  1.  1.
56.75  1.  1.  1.
57.25  1.  1.  1.
57.75  1.  1.  1.
58.25  1.  1.  1.
58.75  1.  1.  1.
59.25  1.  1.  1.
59.75  1.  1.  1.
60.25  1.  1.  1.
60.75  1.  1.  1.
61.25  1.  1.  1.
61.75  1.  1.  1.
62.25  1.  1.  1.
62.75  1.  1.  1.
63.25  1.  1.  1.
63.75  1.  1.  1.
64.25  1.  1.  1.
64.75  1.  1.  1.
65.25  1.  1.  1.
65.75  1.  1.  1.
66.25  1.  1.  1.
66.75  1.  1.  1.
67.25  1.  1.  1.
67.75  1.  1.  1.
68.25  1.  1.  1.
68.75  1.  1.  1.
69.25  1.  1.  1.
69.75  1.  1.  1.
70.25  1.  1.  1.
70.75  1.  1.  1.
71.25  1.  1.  1.
71.75  1.  1.  1.
72.25  1.  1.  1.
72.75  1.  1.  1.
73.25  1.  1.  1.
73.75  1.  1.  1.
74.25  1.  1.  1.
74.75  1.  1.  1.
75.25  1.  1.  1.
75.75  1.  1.  1.
76.25  1.  1.  1.
76.75  1.  1.  1.
77.25  1.  1.  1.
77.75  1.  1.  1.
78.25  1.  1.  1.
78.75  1.  1.  1.
79.25  1.  1.  1.
79.75  1.  1.  1.
80.25  1.  1.  1.
80.75  1.  1.  1.
81.25  1.  1.  1.
81.75  1.  1.  1.
82.25  1.  1.  1.
82.75  1.  1.  1.
83.25  1.  1.  1.
83.75  1.  1.  1.
84.25  1.  1.  1.
84.75  1.  1.  1.
85.25  1.  1.  1.
85.75  1.  1.  1.
86.25  1.  1.  1.
86.75  1.  1.  1.
87.25  1.  1.  1.
87.75  1.  1.  1.
88.25  1.  1.  1.
88.75  1.  1.  1.
89.25  1.  1.  1.
89.75  1.  1.  1.
90.25  1.  1.  1.
90.75  1.  1.  1.
91.25  1.  1.  1.
91.75  1.  1.  1.
92.25  1.  1.  1.
92.75  1.  1.  1.
93.25  1.  1.  1.
93.75  1.  1.  1.
94.25  1.  1.  1.
94.75  1.  1.  1.
95.25  1.  1.  1.
95.75  1.  1.  1.
96.25  1.  1.  1.
96.75  1.  1.  1.
97.25  1.  1.  1.
97.75  1.  1.  1.
98.25  1.  1.  1.
98.75  1.  1.  1.
99.25  1.  1.  1.
99.75  1.  1.  1.
100.25  1.  1.  1.
100.75  1.  1.  1.
101.25  1.  1.  1.
101.75  1.  1.  1.
102.25  1.  1.  1.
102.75  1.  1.  1.
103.25  1.  1.  1.
103.75  1.  1.  1.
104.25  1.  1.  1.
104.75  1.  1.  1.
105.25  1.  1.  1.
105.75  1.  1.  1.
106.25  1.  1.  1.
106.75  1.  1.  1.
107.25  1.  1.  1.
107.75  1.  1.  1.
108.25  1.  1.  1.
108.75  1.  1.  1.
109.25  1.  1.  1.
109.75  1.  1.  1.
110.25  1.  1.  1.
110.75  1.  1.  1.
111.25  1.  1.  1.
111.75  1.  1.  1.
112.25  1.  1.  1.
112.75  1.  1.  1.
113.25  1.  1.  1.
113.75  1.  1.  1.
114.25  1.  1.  1.
114.75  1.  1.  1.
115.25  1.  1.  1.
115.75  1.  1.  1.
116.25  1.  1.  1.
116.75  1.  1.  1.
117.25  1.  1.  1.
117.75  1.  1.  1.
118.25  1.  1.  1.
118.75  1.  1.  1.
119.25  1.  1.  1.
119.75  1.  1.  1.
120.25  1.  1.  1.
120.75  1.  1.  1.
121.25  1.  1.  1.
121.75  1.  1.  1.
122.25  1.  1.  1.
122.75  1.  1.  1.
123.25  1.  1.  1.
123.75  1.  1.  1.
124.25  1.  1.  1.
124.75  1.  1.  1.
125.25  1.  1.  1.
125.75  1.  1.  1.
126.25  1.  1.  1.
126.75  1.  1.  1.
127.25  1.  1.  1.
127.75  1.  1.  1.
128.25  1.  1.  1.
128.75  1.  1.  1.
129.25  1.  1.  1.
129.75  1.  1.  1.
130.25  1.  1.  1.
130.75  1.  1.  1.
131.25  1.  1.  1.
131.75  1.  1.  1.
132.25  1.  1.  1.
132.75  1.  1.  1.
133.25  1.  1.  1.
133.75  1.  1.  1.
134.25  1.  1.  1.
134.75  1.  1.  1.
135.25  1.  1.  1.
135.75  1.  1.  1.
136.25  1.  1.  1.
136.75  1.  1.  1.
137.25  1.  1.  1.
137.75  1.  1.  1.
138.25  1.  1.  1.
138.75  1.  1.  1.
139.25  1.  1.  1.
139.75  1.  1.  1.
140.25  1.  1.  1.
140.75  1.  1.  1.
141.25  1.  1.  1.
141.75  1.  1.  1.
142.25  1.  1.  1.
142.75  1.  1.  1.
143.25  1.  1.  1.
143.75  1.  1.  1.
144.25  1.  1.  1.
144.75  1.  1.  1.
145.25  1.  1.  1.
145.75  1.  1.  1.
146.25  1.  1.  1.
146.75  1.  1.  1.
