# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.683478  0.495465  0.870642
0.75  0.701469  0.510862  0.89787
1.25  0.721454  0.533832  0.917693
1.75  0.744294  0.564301  0.929067
2.25  0.777704  0.60298  0.957779
2.75  0.818055  0.648425  0.986417
3.25  0.848857  0.690068  1.01663
3.75  0.876884  0.724805  1.0331
4.25  0.902158  0.752721  1.03588
4.75  0.91741  0.77296  1.03494
5.25  0.92268  0.785564  1.03027
5.75  0.930262  0.805084  1.03422
6.25  0.94015  0.831483  1.0468
6.75  0.95003  0.857819  1.05936
7.25  0.958835  0.873817  1.06464
7.75  0.966568  0.879523  1.06267
8.25  0.974295  0.885226  1.06069
8.75  0.982019  0.890925  1.05871
9.25  0.985641  0.896103  1.05795
9.75  0.985165  0.90076  1.0584
10.25  0.984689  0.905416  1.05886
10.75  0.984214  0.91007  1.05932
11.25  0.987357  0.916482  1.0616
11.75  0.994116  0.924652  1.06571
12.25  1.00087  0.932815  1.06982
12.75  1.00762  0.940972  1.07392
13.25  1.01437  0.949125  1.07803
13.75  1.02112  0.95727  1.08213
14.25  1.02786  0.965411  1.08624
14.75  1.03459  0.973545  1.09034
15.25  1.04133  0.981674  1.09444
15.75  1.04806  0.989798  1.09854
16.25  1.052  0.994068  1.1016
16.75  1.05317  0.994489  1.10363
17.25  1.05433  0.994911  1.10566
17.75  1.05549  0.995332  1.10769
18.25  1.05665  0.995753  1.10972
18.75  1.05782  0.996174  1.11175
19.25  1.05898  0.996596  1.11378
19.75  1.06014  0.997016  1.11581
20.25  1.06131  0.997438  1.11784
20.75  1.06247  0.997859  1.11987
21.25  1.06363  0.99828  1.1219
21.75  1.06479  0.998701  1.12393
22.25  1.06596  0.999123  1.12595
22.75  1.06712  0.999543  1.12798
23.25  1.06828  0.999965  1.13001
23.75  1.06944  1.00039  1.13204
24.25  1.0706  1.00081  1.13406
24.75  1.07177  1.00123  1.13609
25.25  1.07293  1.00165  1.13811
25.75  1.07409  1.00207  1.14014
26.25  1.07525  1.00249  1.14216
26.75  1.07641  1.00291  1.14419
27.25  1.07757  1.00333  1.14622
27.75  1.07873  1.00375  1.14824
28.25  1.07989  1.00418  1.15026
28.75  1.08106  1.0046  1.15229
29.25  1.08222  1.00502  1.15431
29.75  1.08338  1.00544  1.15634
30.25  1.08454  1.00586  1.15836
30.75  1.0857  1.00628  1.16038
31.25  1.08686  1.0067  1.16241
31.75  1.08802  1.00712  1.16443
32.25  1.08918  1.00754  1.16645
32.75  1.09034  1.00796  1.16847
33.25  1.0915  1.00838  1.17049
33.75  1.09266  1.0088  1.17251
34.25  1.09382  1.00923  1.17454
34.75  1.09498  1.00965  1.17656
35.25  1.09556  1.00986  1.17757
35.75  1.09556  1.00986  1.17757
36.25  1.09556  1.00986  1.17757
36.75  1.09556  1.00986  1.17757
