# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.881697  0.788385  0.955831
0.75  0.889464  0.796955  0.965547
1.25  0.897907  0.809493  0.972473
1.75  0.907332  0.825472  0.976392
2.25  0.920735  0.844733  0.986117
2.75  0.936356  0.866071  0.995586
3.25  0.94788  0.884561  1.00534
3.75  0.95808  0.899304  1.01056
4.25  0.967056  0.910753  1.01144
4.75  0.972374  0.918858  1.01114
5.25  0.974196  0.923826  1.00967
5.75  0.976801  0.931401  1.01091
6.25  0.980174  0.941421  1.01485
6.75  0.983515  0.95117  1.01875
7.25  0.98647  0.956976  1.02038
7.75  0.989047  0.959026  1.01977
8.25  0.991605  0.961065  1.01916
8.75  0.994146  0.963092  1.01855
9.25  0.995332  0.964924  1.01831
9.75  0.995176  0.966564  1.01846
10.25  0.995021  0.968198  1.0186
10.75  0.994865  0.969824  1.01874
11.25  0.995893  0.972053  1.01944
11.75  0.998094  0.974875  1.02071
12.25  1.00028  0.977675  1.02197
12.75  1.00246  0.980453  1.02322
13.25  1.00462  0.98321  1.02448
13.75  1.00677  0.985946  1.02573
14.25  1.00891  0.988662  1.02697
14.75  1.01103  0.991357  1.02821
15.25  1.01314  0.994033  1.02945
15.75  1.01525  0.996689  1.03068
16.25  1.01647  0.998078  1.0316
16.75  1.01683  0.998215  1.03221
17.25  1.01719  0.998352  1.03281
17.75  1.01755  0.998488  1.03342
18.25  1.01791  0.998625  1.03402
18.75  1.01827  0.998762  1.03463
19.25  1.01863  0.998898  1.03523
19.75  1.01899  0.999034  1.03583
20.25  1.01935  0.999171  1.03644
20.75  1.01971  0.999308  1.03704
21.25  1.02007  0.999444  1.03764
21.75  1.02043  0.99958  1.03823
22.25  1.02078  0.999716  1.03883
22.75  1.02114  0.999852  1.03943
23.25  1.0215  0.999989  1.04002
23.75  1.02185  1.00012  1.04062
24.25  1.02221  1.00026  1.04121
24.75  1.02256  1.0004  1.04181
25.25  1.02292  1.00053  1.0424
25.75  1.02327  1.00067  1.04299
