# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.677907  0.492167  0.879532
0.75  0.706069  0.508905  0.90254
1.25  0.736333  0.547181  0.930539
1.75  0.763326  0.578968  0.946781
2.25  0.807473  0.637475  0.988192
2.75  0.855771  0.67496  1.00448
3.25  0.892705  0.740386  1.02945
3.75  0.921501  0.788753  1.04943
4.25  0.942254  0.820428  1.06443
4.75  0.956745  0.846004  1.07365
5.25  0.965011  0.865544  1.07711
5.75  0.975179  0.883407  1.0827
6.25  0.987239  0.899605  1.0904
6.75  0.99928  0.915769  1.0981
7.25  1.01097  0.932386  1.1018
7.75  1.02231  0.949452  1.10151
8.25  1.03364  0.96648  1.10122
8.75  1.04495  0.983471  1.10094
9.25  1.05194  0.99652  1.10513
9.75  1.05461  1.00565  1.11379
10.25  1.05728  1.01476  1.12244
10.75  1.05995  1.02387  1.13108
11.25  1.06282  1.02882  1.13579
11.75  1.06587  1.02963  1.13656
12.25  1.06893  1.03044  1.13734
12.75  1.07198  1.03125  1.13811
13.25  1.07504  1.03205  1.13888
13.75  1.07809  1.03286  1.13966
14.25  1.08114  1.03367  1.14043
14.75  1.08419  1.03447  1.1412
15.25  1.08724  1.03528  1.14198
15.75  1.09028  1.03609  1.14275
16.25  1.09223  1.03705  1.14387
16.75  1.09308  1.03818  1.14534
17.25  1.09393  1.03931  1.14681
17.75  1.09478  1.04043  1.14828
18.25  1.09563  1.04156  1.14975
18.75  1.09648  1.04269  1.15122
19.25  1.09733  1.04382  1.15268
19.75  1.09818  1.04494  1.15415
20.25  1.09903  1.04607  1.15562
20.75  1.09989  1.04719  1.15709
21.25  1.10074  1.04832  1.15856
21.75  1.10159  1.04945  1.16002
22.25  1.10244  1.05057  1.16149
22.75  1.10328  1.0517  1.16296
23.25  1.10414  1.05282  1.16443
23.75  1.10498  1.05395  1.16589
24.25  1.10583  1.05507  1.16736
24.75  1.10668  1.0562  1.16883
25.25  1.10753  1.05732  1.17029
25.75  1.10838  1.05845  1.17176
26.25  1.10923  1.05957  1.17322
26.75  1.11008  1.0607  1.17469
27.25  1.11093  1.06182  1.17615
27.75  1.11178  1.06294  1.17762
28.25  1.11263  1.06407  1.17908
28.75  1.11348  1.06519  1.18055
29.25  1.11433  1.06632  1.18201
