# this is EMMI RRTF_HQ_cquark_ppFONLL_5.02 TeV_yle1 file 
# first, total cross section (in fm2) ... still to be estimated in this file
3
 -1.d0 -1.d0  -1.d0
# cross section is ds/dpt (pb/GeV)
# pt      central (m_c=1.3 GeV)     fr=1 2          fr=1 .5 
400 0.5d0
110.250000  17.664000  14.052000  17.186001
110.750000  17.184000  13.671000  16.716999
111.250000  16.719000  13.301000  16.261000
111.750000  16.268999  12.942000  15.820000
112.250000  15.832000  12.595000  15.392000
112.750000  15.408000  12.258000  14.978000
113.250000  14.997000  11.931000  14.576000
113.750000  14.599000  11.614000  14.186000
114.250000  14.213000  11.307000  13.808000
114.750000  13.838000  11.008000  13.441000
115.250000  13.474000  10.719000  13.086000
115.750000  13.121000  10.438000  12.741000
116.250000  12.779000  10.166000  12.406000
116.750000  12.447000  9.901500  12.082000
117.250000  12.124000  9.644900  11.766000
117.750000  11.811000  9.395800  11.461000
118.250000  11.507000  9.153900  11.164000
118.750000  11.212000  8.919100  10.876000
119.250000  10.926000  8.691100  10.596000
119.750000  10.647000  8.469700  10.324000
120.250000  10.377000  8.254600  10.060000
120.750000  10.115000  8.045800  9.804400
121.250000  9.859600  7.842800  9.555600
121.750000  9.611900  7.645700  9.313900
122.250000  9.371100  7.454100  9.079100
122.750000  9.137200  7.268000  8.851000
123.250000  8.909800  7.087100  8.629300
123.750000  8.688900  6.911300  8.413900
124.250000  8.474000  6.740400  8.204500
124.750000  8.265200  6.574200  8.001000
125.250000  8.062200  6.412700  7.803200
125.750000  7.864800  6.255600  7.610900
126.250000  7.672900  6.102900  7.424000
126.750000  7.486200  5.954400  7.242200
127.250000  7.304700  5.810000  7.065500
127.750000  7.128100  5.669500  6.893600
128.250000  6.956400  5.532800  6.726400
128.750000  6.789300  5.399900  6.563900
129.250000  6.626800  5.270600  6.405700
129.750000  6.468600  5.144700  6.251900
130.250000  6.314800  5.022200  6.102200
130.750000  6.165000  4.903100  5.956600
131.250000  6.019200  4.787100  5.814900
131.750000  5.877400  4.674200  5.677000
132.250000  5.739300  4.564300  5.542700
132.750000  5.604800  4.457300  5.412100
133.250000  5.473900  4.353100  5.284900
133.750000  5.346500  4.251700  5.161100
134.250000  5.222400  4.152900  5.040600
134.750000  5.101500  4.056800  4.923300
135.250000  4.983800  3.963100  4.809000
135.750000  4.869200  3.871800  4.697700
136.250000  4.757500  3.783000  4.589300
136.750000  4.648700  3.696400  4.483700
137.250000  4.542700  3.612000  4.380900
137.750000  4.439500  3.529900  4.280700
138.250000  4.338900  3.449800  4.183100
138.750000  4.240800  3.371700  4.088000
139.250000  4.145200  3.295700  3.995400
139.750000  4.052100  3.221600  3.905100
140.250000  3.961300  3.149300  3.817000
140.750000  3.872800  3.078900  3.731300
141.250000  3.786600  3.010200  3.647700
141.750000  3.702400  2.943300  3.566200
142.250000  3.620400  2.878000  3.486700
142.750000  3.540500  2.814400  3.409200
143.250000  3.462500  2.752300  3.333700
143.750000  3.386400  2.691800  3.260100
144.250000  3.312300  2.632800  3.188200
144.750000  3.239900  2.575200  3.118200
145.250000  3.169300  2.519100  3.049900
145.750000  3.100500  2.464300  2.983200
146.250000  3.033300  2.410800  2.918200
146.750000  2.967800  2.358700  2.854800
147.250000  2.903800  2.307800  2.792900
147.750000  2.841400  2.258100  2.732500
148.250000  2.780500  2.209700  2.673600
148.750000  2.721000  2.162400  2.616200
149.250000  2.663000  2.116200  2.560000
149.750000  2.606400  2.071100  2.505300
150.250000  2.551100  2.027200  2.451800
150.750000  2.497100  1.984200  2.399700
151.250000  2.444400  1.942300  2.348700
151.750000  2.393000  1.901400  2.299000
152.250000  2.342800  1.861400  2.250400
152.750000  2.293700  1.822400  2.203100
153.250000  2.245800  1.784300  2.156800
153.750000  2.199000  1.747100  2.111600
154.250000  2.153300  1.710700  2.067500
154.750000  2.108700  1.675200  2.024400
155.250000  2.065100  1.640600  1.982300
155.750000  2.022600  1.606700  1.941200
156.250000  1.981000  1.573600  1.901000
156.750000  1.940300  1.541300  1.861800
157.250000  1.900600  1.509700  1.823500
157.750000  1.861900  1.478900  1.786100
158.250000  1.824000  1.448800  1.749500
158.750000  1.786900  1.419300  1.713800
159.250000  1.750800  1.390500  1.678900
159.750000  1.715400  1.362400  1.644800
160.250000  1.680800  1.334900  1.611500
160.750000  1.647000  1.308000  1.578900
161.250000  1.614000  1.281800  1.547100
161.750000  1.581700  1.256100  1.515900
162.250000  1.550200  1.231000  1.485500
162.750000  1.519300  1.206500  1.455800
163.250000  1.489100  1.182500  1.426700
163.750000  1.459700  1.159000  1.398300
164.250000  1.430800  1.136100  1.370500
164.750000  1.402600  1.113700  1.343400
165.250000  1.375000  1.091700  1.316800
165.750000  1.348100  1.070300  1.290900
166.250000  1.321700  1.049300  1.265400
166.750000  1.295900  1.028800  1.240600
167.250000  1.270700  1.008700  1.216300
167.750000  1.246000  0.989080  1.192600
168.250000  1.221800  0.969880  1.169300
168.750000  1.198200  0.951090  1.146600
169.250000  1.175100  0.932710  1.124300
169.750000  1.152400  0.914730  1.102600
170.250000  1.130300  0.897130  1.081300
170.750000  1.108700  0.879910  1.060500
171.250000  1.087500  0.863060  1.040100
171.750000  1.066700  0.846580  1.020100
172.250000  1.046400  0.830440  1.000600
172.750000  1.026600  0.814650  0.981540
173.250000  1.007100  0.799190  0.962850
173.750000  0.988100  0.784060  0.944550
174.250000  0.969470  0.769250  0.926650
174.750000  0.951230  0.754750  0.909120
175.250000  0.933370  0.740560  0.891960
175.750000  0.915890  0.726660  0.875170
176.250000  0.898770  0.713050  0.858730
176.750000  0.882010  0.699730  0.842630
177.250000  0.865600  0.686690  0.826860
177.750000  0.849530  0.673920  0.811430
178.250000  0.833790  0.661410  0.796320
178.750000  0.818370  0.649160  0.781520
179.250000  0.803280  0.637160  0.767020
179.750000  0.788490  0.625410  0.752830
180.250000  0.774010  0.613900  0.738930
180.750000  0.759820  0.602620  0.725310
181.250000  0.745920  0.591580  0.711970
181.750000  0.732300  0.580760  0.698910
182.250000  0.718960  0.570160  0.686110
182.750000  0.705900  0.559780  0.673570
183.250000  0.693090  0.549600  0.661280
183.750000  0.680540  0.539630  0.649250
184.250000  0.668250  0.529870  0.637450
184.750000  0.656200  0.520290  0.625900
185.250000  0.644390  0.510910  0.614570
185.750000  0.632820  0.501720  0.603480
186.250000  0.621480  0.492710  0.592610
186.750000  0.610360  0.483890  0.581950
187.250000  0.599470  0.475240  0.571510
187.750000  0.588800  0.466750  0.561280
188.250000  0.578330  0.458440  0.551250
188.750000  0.568080  0.450300  0.541420
189.250000  0.558020  0.442310  0.531790
189.750000  0.548170  0.434490  0.522350
190.250000  0.538510  0.426810  0.513090
190.750000  0.529040  0.419290  0.504020
191.250000  0.519750  0.411920  0.495130
191.750000  0.510650  0.404690  0.486410
192.250000  0.501720  0.397600  0.477860
192.750000  0.492970  0.390650  0.469480
193.250000  0.484380  0.383830  0.461270
193.750000  0.475970  0.377150  0.453210
194.250000  0.467710  0.370590  0.445310
194.750000  0.459620  0.364170  0.437560
195.250000  0.451680  0.357860  0.429970
195.750000  0.443890  0.351680  0.422520
196.250000  0.436260  0.345620  0.415210
196.750000  0.428770  0.339670  0.408050
197.250000  0.421420  0.333840  0.401020
197.750000  0.414220  0.328120  0.394130
198.250000  0.407150  0.322500  0.387360
198.750000  0.400210  0.317000  0.380730
199.250000  0.393410  0.311600  0.374230
199.750000  0.386730  0.306300  0.367840
