# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.685193  0.501402  0.882744
0.75  0.712891  0.518039  0.905181
1.25  0.742615  0.556041  0.932459
1.75  0.76909  0.587541  0.948268
2.25  0.812331  0.645354  0.988531
2.75  0.859549  0.682291  1.00435
3.25  0.895593  0.746592  1.02859
3.75  0.923657  0.794005  1.04796
4.25  0.943862  0.825005  1.06249
4.75  0.957962  0.850008  1.07143
5.25  0.966001  0.869091  1.07478
5.75  0.975885  0.886524  1.08019
6.25  0.987605  0.902321  1.08765
6.75  0.999301  0.918073  1.0951
7.25  1.01065  0.934257  1.09868
7.75  1.02166  0.950867  1.0984
8.25  1.03265  0.967429  1.09812
8.75  1.04362  0.983944  1.09784
9.25  1.05039  0.996621  1.1019
9.75  1.05298  1.00548  1.11028
10.25  1.05557  1.01433  1.11865
10.75  1.05816  1.02317  1.12701
11.25  1.06093  1.02798  1.13156
11.75  1.06389  1.02876  1.1323
12.25  1.06685  1.02954  1.13305
12.75  1.06981  1.03033  1.1338
13.25  1.07277  1.03111  1.13455
13.75  1.07572  1.03189  1.13529
14.25  1.07868  1.03267  1.13604
14.75  1.08163  1.03346  1.13679
15.25  1.08458  1.03424  1.13753
15.75  1.08753  1.03502  1.13828
16.25  1.08942  1.03596  1.13936
16.75  1.09024  1.03705  1.14078
17.25  1.09107  1.03814  1.1422
17.75  1.09189  1.03924  1.14362
18.25  1.09271  1.04033  1.14504
18.75  1.09354  1.04142  1.14646
19.25  1.09436  1.04252  1.14788
19.75  1.09518  1.04361  1.1493
20.25  1.096  1.0447  1.15072
20.75  1.09683  1.04579  1.15214
21.25  1.09765  1.04688  1.15355
21.75  1.09847  1.04797  1.15497
22.25  1.09929  1.04907  1.15639
22.75  1.10012  1.05016  1.15781
23.25  1.10094  1.05125  1.15922
23.75  1.10176  1.05234  1.16064
24.25  1.10258  1.05343  1.16206
24.75  1.10341  1.05452  1.16347
25.25  1.10423  1.05561  1.16489
25.75  1.10505  1.0567  1.1663
26.25  1.10587  1.05779  1.16772
26.75  1.10669  1.05888  1.16914
27.25  1.10751  1.05997  1.17055
