# pt   RAA_central    RAA_lower    RAA_upper  
400  0.5
0.25  0.632482  0.436281  0.859035
0.75  0.663384  0.453466  0.885638
1.25  0.69689  0.493031  0.91822
1.75  0.727017  0.526289  0.937222
2.25  0.776719  0.588618  0.986004
2.75  0.831725  0.629263  1.00531
3.25  0.874248  0.7014  1.03507
3.75  0.907678  0.755578  1.05898
4.25  0.931918  0.791406  1.077
4.75  0.948917  0.820546  1.08811
5.25  0.95864  0.842937  1.09228
5.75  0.970624  0.863505  1.09902
6.25  0.984876  0.882236  1.10834
6.75  0.999146  0.901004  1.11765
7.25  1.01304  0.920376  1.12214
7.75  1.02655  0.940354  1.12179
8.25  1.04007  0.960369  1.12144
8.75  1.05362  0.98042  1.12109
9.25  1.062  0.995872  1.12617
9.75  1.0652  1.00671  1.13669
10.25  1.06841  1.01755  1.14721
10.75  1.07162  1.02841  1.15774
11.25  1.07507  1.03432  1.16348
11.75  1.07874  1.03528  1.16442
12.25  1.08242  1.03625  1.16536
12.75  1.0861  1.03721  1.16631
13.25  1.08978  1.03818  1.16725
13.75  1.09346  1.03914  1.16819
14.25  1.09714  1.0401  1.16914
14.75  1.10082  1.04107  1.17008
15.25  1.10451  1.04203  1.17103
15.75  1.10819  1.043  1.17197
16.25  1.11055  1.04415  1.17334
16.75  1.11158  1.0455  1.17513
17.25  1.11261  1.04685  1.17693
17.75  1.11364  1.0482  1.17873
18.25  1.11467  1.04955  1.18052
18.75  1.1157  1.0509  1.18232
19.25  1.11673  1.05225  1.18412
19.75  1.11776  1.0536  1.18591
20.25  1.11879  1.05495  1.18771
20.75  1.11982  1.0563  1.18951
21.25  1.12085  1.05765  1.19131
21.75  1.12188  1.059  1.1931
22.25  1.12291  1.06035  1.1949
22.75  1.12394  1.0617  1.1967
23.25  1.12497  1.06305  1.1985
23.75  1.126  1.06441  1.2003
24.25  1.12703  1.06576  1.2021
24.75  1.12806  1.06711  1.2039
25.25  1.12909  1.06846  1.20569
25.75  1.13012  1.06981  1.20749
26.25  1.13115  1.07116  1.20929
26.75  1.13219  1.07251  1.21109
27.25  1.13322  1.07387  1.21289
27.75  1.13425  1.07522  1.2147
28.25  1.13528  1.07657  1.2165
28.75  1.13631  1.07792  1.2183
29.25  1.13734  1.07927  1.2201
29.75  1.13837  1.08063  1.2219
30.25  1.1394  1.08198  1.2237
30.75  1.14044  1.08333  1.2255
31.25  1.14147  1.08469  1.2273
31.75  1.1425  1.08604  1.2291
32.25  1.14353  1.08739  1.23091
32.75  1.14456  1.08875  1.23271
33.25  1.14559  1.0901  1.23451
33.75  1.14663  1.09145  1.23631
34.25  1.14766  1.09281  1.23812
34.75  1.14869  1.09416  1.23992
35.25  1.14921  1.09484  1.24082
35.75  1.14921  1.09484  1.24082
36.25  1.14921  1.09484  1.24082
36.75  1.14921  1.09484  1.24082
37.25  1.14921  1.09484  1.24082
37.75  1.14921  1.09484  1.24082
38.25  1.14921  1.09484  1.24082
38.75  1.14921  1.09484  1.24082
39.25  1.14921  1.09484  1.24082
39.75  1.14921  1.09484  1.24082
40.25  1.14921  1.09484  1.24082
40.75  1.14921  1.09484  1.24082
41.25  1.14921  1.09484  1.24082
41.75  1.14921  1.09484  1.24082
42.25  1.14921  1.09484  1.24082
42.75  1.14921  1.09484  1.24082
43.25  1.14921  1.09484  1.24082
43.75  1.14921  1.09484  1.24082
44.25  1.14921  1.09484  1.24082
44.75  1.14921  1.09484  1.24082
45.25  1.14921  1.09484  1.24082
45.75  1.14921  1.09484  1.24082
46.25  1.14921  1.09484  1.24082
46.75  1.14921  1.09484  1.24082
47.25  1.14921  1.09484  1.24082
47.75  1.14921  1.09484  1.24082
48.25  1.14921  1.09484  1.24082
48.75  1.14921  1.09484  1.24082
49.25  1.14921  1.09484  1.24082
49.75  1.14921  1.09484  1.24082
50.25  1.  1.  1.
50.75  1.  1.  1.
51.25  1.  1.  1.
51.75  1.  1.  1.
52.25  1.  1.  1.
52.75  1.  1.  1.
53.25  1.  1.  1.
53.75  1.  1.  1.
54.25  1.  1.  1.
54.75  1.  1.  1.
55.25  1.  1.  1.
55.75  1.  1.  1.
56.25  1.  1.  1.
56.75  1.  1.  1.
57.25  1.  1.  1.
57.75  1.  1.  1.
58.25  1.  1.  1.
58.75  1.  1.  1.
59.25  1.  1.  1.
59.75  1.  1.  1.
60.25  1.  1.  1.
60.75  1.  1.  1.
61.25  1.  1.  1.
61.75  1.  1.  1.
62.25  1.  1.  1.
62.75  1.  1.  1.
63.25  1.  1.  1.
63.75  1.  1.  1.
64.25  1.  1.  1.
64.75  1.  1.  1.
65.25  1.  1.  1.
65.75  1.  1.  1.
66.25  1.  1.  1.
66.75  1.  1.  1.
67.25  1.  1.  1.
67.75  1.  1.  1.
68.25  1.  1.  1.
68.75  1.  1.  1.
69.25  1.  1.  1.
69.75  1.  1.  1.
70.25  1.  1.  1.
70.75  1.  1.  1.
71.25  1.  1.  1.
71.75  1.  1.  1.
72.25  1.  1.  1.
72.75  1.  1.  1.
73.25  1.  1.  1.
73.75  1.  1.  1.
74.25  1.  1.  1.
74.75  1.  1.  1.
75.25  1.  1.  1.
75.75  1.  1.  1.
76.25  1.  1.  1.
76.75  1.  1.  1.
77.25  1.  1.  1.
77.75  1.  1.  1.
78.25  1.  1.  1.
78.75  1.  1.  1.
79.25  1.  1.  1.
79.75  1.  1.  1.
80.25  1.  1.  1.
80.75  1.  1.  1.
81.25  1.  1.  1.
81.75  1.  1.  1.
82.25  1.  1.  1.
82.75  1.  1.  1.
83.25  1.  1.  1.
83.75  1.  1.  1.
84.25  1.  1.  1.
84.75  1.  1.  1.
85.25  1.  1.  1.
